#Mission K2
#Campaign 6
#Column 1, Custom Aperture Number/Dataset number
#Column 2, Trojan/Asteroid designation number
#Created by Susan Thompson
#Created on 2016-02-02
200043056,12238
200043057,12238
200043058,12238
200043059,12238
200043060,12238
200043061,12238
200043062,12238
200043063,12238
200043064,12238
200043065,12238
200043066,12238
200043067,12238
200043068,12238
200043069,12238
200043070,12238
200043071,12238
200043072,12238
200043073,12238
200043074,12238
200043075,12238
200043076,12238
200043077,12238
200043078,12238
200043079,12238
200043080,12238
200043081,12238
200043082,12238
200043083,12238
200043084,12238
200043085,12238
200043086,12238
200043087,12238
200043088,12238
200043089,12238
200043090,12238
200043091,12238
200043092,12238
200043093,12238
200043094,12238
200043095,12238
200043096,12238
200043097,12238
200043098,12238
200043099,12238
200043100,12238
200043101,12238
200043102,12238
200043103,12238
200043104,12238
200043105,12238
200043106,12238
200043107,12238
200043108,12238
200043109,12238
200043110,12238
200043111,12238
200043112,12238
200043113,12238
200043114,12238
200043115,12238
200043116,12238
200043117,12238
200043118,12238
200043119,12238
200043120,12238
200043121,12238
200043122,12238
200043123,12238
200043124,12238
200043125,12238
200043126,12238
200043127,12238
200043128,12238
200043129,12238
200043130,12238
200043131,12238
200043132,129602
200043133,129602
200043134,129602
200043135,129602
200043136,129602
200043137,129602
200043138,129602
200043139,129602
200043140,129602
200043141,129602
200043142,129602
200043143,129602
200043144,129602
200043145,129602
200043146,129602
200043147,129602
200043148,129602
200043149,129602
200043150,129602
200043151,129602
200043152,129602
200043153,129602
200043154,129602
200043155,129602
200043156,129602
200043157,129602
200043158,129602
200043159,129602
200043160,129602
200043161,129602
200043162,129602
200043163,129602
200043164,129602
200043165,129602
200043166,129602
200043167,129602
200043168,129602
200043169,129602
200043170,129602
200043171,129602
200043172,129602
200043173,129602
200043174,129602
200043175,129602
200043176,129602
200043177,129602
200043178,129602
200043179,129602
200043180,129602
200043181,129602
200043182,129602
200043183,129602
200043184,129602
200043185,129602
200043186,129602
200043187,129602
200043188,129602
200043189,129602
200043190,129602
200043191,129602
200043192,129602
200043193,129602
200043194,129602
200043195,129602
200043196,129602
200043197,129602
200043198,129602
200043199,129602
200043200,129602
200043201,129602
200043202,129602
200043203,129602
200043204,129602
200043205,129602
200043206,129602
200043207,129602
200043208,129602
200043209,129602
200043210,129602
200043211,129602
200043212,129602
200043213,129602
200043214,129602
200043215,129602
200043216,129602
200043217,129602
200043218,129602
200043219,129602
200043220,129602
200043221,129602
200043222,129602
200043223,129602
200043224,129602
200043225,129602
200043226,129602
200043227,129602
200043228,129602
200043229,129602
200043230,129602
200043231,129602
200043232,129602
200043233,129602
200043234,129602
200043235,129602
200043236,129602
200043237,129602
200043238,129602
200043239,129602
200043240,129602
200043241,129602
200043242,129602
200043243,129602
