# K2 Campaign 6
# Guide Star Information
# Time (JD), FGS Flux
# 
2457222.30885,   1.2921000000000E+04
2457222.30954,   1.3002000000000E+04
2457222.31023,   1.3019000000000E+04
2457222.31092,   1.2709000000000E+04
2457222.31161,   1.2732000000000E+04
2457222.31229,   1.2693000000000E+04
2457222.31298,   1.2969000000000E+04
2457222.31367,   1.2963000000000E+04
2457222.31436,   1.2945000000000E+04
2457222.31505,   1.2672000000000E+04
2457222.31574,   1.2703000000000E+04
2457222.31643,   1.2606000000000E+04
2457222.31711,   1.2574000000000E+04
2457222.3178,   1.2948000000000E+04
2457222.31849,   1.2885000000000E+04
2457222.31918,   1.2148000000000E+04
2457222.31987,   1.2558000000000E+04
2457222.32056,   1.2561000000000E+04
2457222.32125,   1.2240000000000E+04
2457222.32194,   1.2231000000000E+04
2457222.32262,   1.2187000000000E+04
2457222.32331,   1.2380000000000E+04
2457222.324,   1.2164000000000E+04
2457222.32469,   1.2700000000000E+04
2457222.32538,   1.2532000000000E+04
2457222.32607,   1.1825000000000E+04
2457222.32676,   1.2180000000000E+04
2457222.32744,   1.2089000000000E+04
2457222.32813,   1.1797000000000E+04
2457222.32882,   1.1997000000000E+04
2457222.32951,   1.1877000000000E+04
2457222.3302,   1.1755000000000E+04
2457222.33089,   1.1671000000000E+04
2457222.33158,   1.2179000000000E+04
2457222.33227,   1.2144000000000E+04
2457222.33295,   1.2016000000000E+04
2457222.33364,   1.1285000000000E+04
2457222.33433,   1.1564000000000E+04
2457222.33502,   1.1418000000000E+04
2457222.33571,   1.1427000000000E+04
2457222.3364,   1.1475000000000E+04
2457222.33709,   1.1277000000000E+04
2457222.33777,   1.1319000000000E+04
2457222.33846,   1.1419000000000E+04
2457222.33915,   1.0963000000000E+04
2457222.33984,   1.1206000000000E+04
2457222.34053,   1.1073000000000E+04
2457222.34122,   1.1028000000000E+04
2457222.34191,   1.1023000000000E+04
2457222.34259,   1.1208000000000E+04
2457222.34328,   1.0985000000000E+04
2457222.34397,   1.0898000000000E+04
2457222.34466,   1.0869000000000E+04
2457222.34535,   1.0989000000000E+04
2457222.34604,   1.1347000000000E+04
2457222.34673,   1.1382000000000E+04
2457222.34742,   1.1285000000000E+04
2457222.3481,   1.0842000000000E+04
2457222.34879,   1.0845000000000E+04
2457222.34948,   1.0931000000000E+04
2457222.35017,   1.0855000000000E+04
2457222.35086,   1.1064000000000E+04
2457222.35155,   1.0833000000000E+04
2457222.35224,   1.0803000000000E+04
2457222.35292,   1.0667000000000E+04
2457222.35361,   1.0759000000000E+04
2457222.3543,   1.1416000000000E+04
2457222.35499,   1.0737000000000E+04
2457222.35568,   1.0878000000000E+04
2457222.35637,   1.0895000000000E+04
2457222.35706,   1.0911000000000E+04
2457222.35775,   1.0838000000000E+04
2457222.35843,   1.0909000000000E+04
2457222.35912,   1.0815000000000E+04
2457222.35981,   1.1216000000000E+04
2457222.3605,   1.1402000000000E+04
2457222.36119,   1.0671000000000E+04
2457222.36188,   1.1450000000000E+04
2457222.36257,   1.0818000000000E+04
2457222.36325,   1.0870000000000E+04
2457222.36394,   1.0811000000000E+04
2457222.36463,   1.0850000000000E+04
2457222.36532,   1.0846000000000E+04
2457222.36601,   1.0851000000000E+04
2457222.3667,   1.0635000000000E+04
2457222.36739,   1.0705000000000E+04
2457222.36808,   1.0725000000000E+04
2457222.36876,   1.0992000000000E+04
2457222.36945,   1.0812000000000E+04
2457222.37014,   1.0814000000000E+04
2457222.37083,   1.0838000000000E+04
2457222.37152,   1.0839000000000E+04
2457222.37221,   1.0815000000000E+04
2457222.3729,   1.0721000000000E+04
2457222.37358,   1.0545000000000E+04
2457222.37427,   1.1257000000000E+04
2457222.37496,   1.0621000000000E+04
2457222.37565,   1.1067000000000E+04
2457222.37634,   1.0995000000000E+04
2457222.37703,   1.0831000000000E+04
2457222.37772,   1.0791000000000E+04
2457222.37841,   1.0851000000000E+04
2457222.37909,   1.0872000000000E+04
2457222.37978,   1.0813000000000E+04
2457222.38047,   1.1231000000000E+04
2457222.38116,   1.0764000000000E+04
2457222.38185,   1.1262000000000E+04
2457222.38254,   1.1050000000000E+04
2457222.38323,   1.1043000000000E+04
2457222.38391,   1.0867000000000E+04
2457222.3846,   1.0836000000000E+04
2457222.38529,   1.0888000000000E+04
2457222.38598,   1.1460000000000E+04
2457222.38667,   1.1628000000000E+04
2457222.38736,   1.1258000000000E+04
