# Summary of K2 Program GO14016

Title: K2 Observations of Variable White Dwarfs in Fields 14, 15 and 16

PI: Hermes, James J (University Of North Carolina, Chapel Hill)
CoIs: Winget, D. E.; Dunlap, Bart H; Clemens, Chris; Gentile Fusillo, Nicola; Kawaler, Steven; Gaensicke, Boris Teddy; Dennihy, Erik; Bell, Keaton; Raddi, Roberto; Montgomery, Mike; Fuchs, Josh

We propose observations of variable white dwarfs in Fields 14-16 of the K2 mission. We request short-cadence observations of known and high-probability pulsating white dwarfs, since the pulsation periods span 100-1400 s. These K2 pulsating white dwarfs will provide unprecedented insight into the interiors of evolved stellar remnants with a sample size large enough to measure the distribution of both hydrogen and helium-layer masses of these evolved objects, as well as directly constraining the efficiency of convection. Additionally, we propose long-cadence observations of hundreds of known and candidate white dwarfs, many of which are known to be magnetic, in close binaries, or harbor remnant planetary systems.

Overall, our program will more than quadruple the number of rotation rates measured for white dwarfs, putting strong constraints on the evolution of angular momentum in the final stages of stellar evolution. We will also characterize the orbital periods of many new post-common-envelope binaries (close WD+dM), informing Type Ia supernova population synthesis models. The proposed observations will provide the capstone for our legacy dataset of white dwarf variability with K2, which will revolutionize our understanding of stellar remnants for the next decade.

# Targets requested by this program that have been observed (342)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
248650425, 158.643, 7.132468, 18.603, GO14016_LC|GO14046_LC|GO14062_LC
248652290, 163.504387, 7.179107, 18.633, GO14016_LC
248655998, 159.921444, 7.269536, 19.322, GO14016_LC
248659512, 154.506807, 7.356559, 15.375, GO14016_LC|GO14001_LC|GO14062_LC|GO14062_SC
248659518, 154.555076, 7.356652, 19.826, GO14016_LC
248660813, 158.605641, 7.389513, 19.156, GO14016_LC|GO14046_LC|GO14062_LC
248661794, 161.139475, 7.412866, 18.186, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248663488, 158.919961, 7.454663, 18.261, GO14016_LC|GO14046_LC|GO14062_LC
248663697, 153.899341, 7.460197, 19.105, GO14016_LC|GO14046_LC|GO14062_LC
248669978, 161.474447, 7.619067, 19.144, GO14016_LC|GO14046_LC|GO14062_LC
248670169, 158.956535, 7.624053, 19.556, GO14016_LC|GO14062_LC
248675336, 157.236568, 7.750511, 19.623, GO14016_LC|GO14062_LC
248678516, 157.357392, 7.82757, 17.438, GO14016_LC
248678645, 154.153366, 7.830919, 18.656, GO14016_LC|GO14046_LC|GO14062_LC
248682887, 161.33209, 7.932435, 19.42, GO14016_LC|GO14089_LC|GO14046_LC
248685347, 155.836116, 7.992797, 16.989, GO14016_LC|GO14051_LC|GO14089_LC|GO14080_LC|GO14065_LC|GO14051_SC|GO14080_SC
248685601, 156.963157, 7.998743, 18.411, GO14016_LC|GO14046_LC
248686355, 155.162443, 8.016353, 19.617, GO14016_LC
248686362, 157.793392, 8.016503, 19.869, GO14016_LC|GO14016_SC
248687588, 155.524784, 8.046209, 18.182, GO14016_LC|GO14062_LC
248691154, 154.210002, 8.130377, 19.286, GO14016_LC|GO14062_LC
248693103, 154.653053, 8.175386, 17.612, GO14016_LC
248695085, 157.019146, 8.222734, 16.913, GO14016_LC|GO14065_LC
248698817, 164.647855, 8.307938, 18.531, GO14016_LC
248698913, 154.177313, 8.30998, 18.651, GO14016_LC
248701720, 162.090251, 8.374191, 18.977, GO14016_LC
248701815, 154.298307, 8.376452, 18.977, GO14016_LC|GO14046_LC|GO14062_LC
248702039, 154.872929, 8.381978, 19.383, GO14016_LC
248705247, 155.27791, 8.456893, 17.872, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248705422, 156.97053, 8.460744, 19.587, GO14016_LC
248706244, 163.964535, 8.479521, 17.06, GO14016_LC|GO14046_LC|GO14062_LC|GO14062_SC
248707316, 162.761145, 8.504168, 19.224, GO14016_LC|GO14046_LC
248713178, 154.500103, 8.63906, 16.48, GO14016_LC|GO14046_LC|GO14062_LC|GO14062_SC
248713228, 153.965145, 8.640726, 19.495, GO14016_LC|GO14046_LC
248715682, 160.328744, 8.694389, 17.151, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC|GO14062_SC
248717409, 154.175011, 8.733345, 17.975, GO14016_LC
248718843, 159.897456, 8.766421, 17.612, GO14016_LC|GO14046_LC|GO14062_LC
248726003, 160.923082, 8.932843, 17.351, GO14016_LC|GO14024_LC|GO14046_LC|GO14062_LC|GO14016_SC|GO14024_SC|GO14062_SC
248730129, 160.670028, 9.021613, 19.66, GO14016_LC
248730974, 158.171215, 9.039665, 19.673, GO14016_LC
248731639, 157.690561, 9.053713, 16.669, GO14016_LC|GO14065_LC
248738549, 162.112407, 9.208383, 18.668, GO14016_LC
248741487, 162.885458, 9.274505, 19.289, GO14016_LC
248742581, 160.372494, 9.300427, 19.916, GO14016_LC|GO14016_SC
248742853, 161.443509, 9.307011, 18.209, GO14016_LC|GO14046_LC|GO14062_LC
248743219, 157.495167, 9.315215, 18.459, GO14016_LC|GO14046_LC|GO14062_LC
248744229, 161.443074, 9.341123, 19.341, GO14016_LC|GO14046_LC
248744651, 160.281931, 9.350923, 18.824, GO14016_LC|GO14062_LC
248744955, 163.615097, 9.358002, 17.801, GO14016_LC|GO14046_LC|GO14062_LC
248746008, 163.603229, 9.382597, 18.491, GO14016_LC
248746467, 159.885439, 9.393052, 18.408, GO14016_LC
248748173, 158.957034, 9.431051, 16.378, GO14016_LC|GO14096_LC|GO14051_LC|GO14089_LC|GO14080_LC|GO14065_LC|GO14051_SC|GO14080_SC
248748804, 154.76207, 9.446193, 18.673, GO14016_LC
248748936, 157.160956, 9.449415, 18.729, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248749101, 163.869298, 9.453437, 19.542, GO14016_LC
248750313, 156.272664, 9.482777, 17.354, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC|GO14062_SC
248751673, 163.857822, 9.515651, 17.436, GO14016_LC|GO14089_LC|GO14016_SC
248752090, 157.240798, 9.525, 15.162, GO14016_LC|GO14062_LC|GO14052_LC|GO14083_LC|GO14065_LC|GO14016_SC|GO14062_SC
248753592, 157.493227, 9.559278, 17.905, GO14016_LC|GO14046_LC|GO14062_LC
248754083, 154.62964, 9.570801, 16.701, GO14016_LC|GO14005_LC|GO14065_LC
248754831, 160.228947, 9.587581, 18.102, GO14016_LC|GO14046_LC|GO14062_LC
248755999, 157.849654, 9.616023, 18.744, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248760544, 155.931944, 9.726817, 17.637, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248760850, 157.649852, 9.733519, 18.682, GO14016_LC|GO14046_LC|GO14062_LC
248761152, 161.912937, 9.740084, 17.093, GO14016_LC|GO14096_LC|GO14051_LC|GO14089_LC|GO14080_LC|GO14051_SC|GO14080_SC
248764081, 162.198879, 9.811406, 17.953, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248764651, 155.95589, 9.824913, 19.049, GO14016_LC|GO14046_LC|GO14062_LC
248767533, 154.198396, 9.89285, 17.983, GO14016_LC|GO14046_LC|GO14062_LC
248767552, 154.637975, 9.893379, 14.965, GO14016_LC|GO14089_LC|GO14080_LC|GO14080_SC
248767795, 160.151646, 9.899594, 18.676, GO14016_LC|GO14046_LC|GO14062_LC
248768027, 155.734231, 9.905245, 17.565, GO14016_LC|GO14062_LC|GO14005_LC
248770462, 164.704769, 9.963881, 18.205, GO14016_LC|GO14046_LC|GO14062_LC
248771179, 162.370085, 9.983218, 17.473, GO14016_LC|GO14046_LC|GO14001_LC|GO14062_LC|GO14062_SC
248774161, 162.233616, 10.055076, 18.063, GO14016_LC
248774401, 163.115526, 10.060597, 15.805, GO14016_LC|GO14001_LC|GO14062_LC|GO14052_LC|GO14065_LC|GO14039_LC|GO14062_SC
248774665, 160.082093, 10.066797, 17.094, GO14016_LC|GO14046_LC
248775854, 163.467191, 10.097357, 19.102, GO14016_LC|GO14046_LC|GO14062_LC
248776437, 154.830027, 10.112039, 18.42, GO14016_LC|GO14046_LC|GO14062_LC
248777705, 163.650776, 10.143876, 18.603, GO14016_LC|GO14016_SC
248778135, 163.963786, 10.154626, 18.773, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248782839, 162.891079, 10.268977, 18.855, GO14016_LC
248783069, 161.583956, 10.274946, 18.645, GO14016_LC|GO14089_LC
248783744, 158.076676, 10.290505, 18.816, GO14016_LC|GO14089_LC
248784059, 160.588515, 10.298676, 18.142, GO14016_LC|GO14046_LC|GO14062_LC
248785736, 161.708048, 10.339507, 18.688, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248787380, 154.627053, 10.37764, 18.545, GO14016_LC
248788064, 162.341569, 10.395493, 17.73, GO14016_LC|GO14046_LC
248790743, 163.669736, 10.461302, 18.939, GO14016_LC|GO14046_LC|GO14062_LC
248792048, 163.285468, 10.493919, 18.464, GO14016_LC|GO14046_LC|GO14062_LC
248793314, 157.599962, 10.523176, 18.308, GO14016_LC
248800489, 156.414031, 10.691459, 18.773, GO14016_LC
248801075, 158.755008, 10.705907, 17.308, GO14016_LC|GO14062_LC|GO14062_SC
248801095, 158.755251, 10.706334, 18.549, GO14016_LC|GO14062_LC
248804379, 160.769444, 10.781662, 19.259, GO14016_LC|GO14046_LC
248807515, 154.316956, 10.856649, 16.4, GO14016_LC|GO14051_LC|GO14089_LC|GO14080_LC|GO14065_LC|GO14051_SC|GO14080_SC
248808253, 158.710056, 10.874349, 18.473, GO14016_LC
248810568, 165.233142, 10.928443, 14.223, GO14016_LC|GO14051_LC|GO14089_LC|GO14080_LC|GO14051_SC|GO14080_SC
248811919, 155.885051, 10.961008, 17.166, GO14016_LC|GO14062_LC|GO14016_SC|GO14062_SC
248814322, 155.833041, 11.019905, 18.244, GO14016_LC
248817394, 157.228763, 11.097379, 15.43, GO14016_LC|GO14046_LC|GO14062_LC|GO14062_SC
248821672, 154.465251, 11.200473, 18.45, GO14016_LC|GO14046_LC|GO14062_LC
248822508, 155.091036, 11.221462, 17.413, GO14016_LC
248828625, 162.365607, 11.370975, 16.887, GO14016_LC
248829364, 157.215925, 11.391174, 18.127, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248833121, 163.143818, 11.482274, 18.627, GO14016_LC|GO14046_LC|GO14062_LC
248833732, 163.646476, 11.497381, 18.617, GO14016_LC|GO14046_LC|GO14062_LC
248840987, 155.212445, 11.673449, 18.148, GO14016_LC|GO14051_LC|GO14089_LC|GO14051_SC
248841922, 154.95696, 11.696847, 18.942, GO14016_LC|GO14046_LC|GO14062_LC
248845621, 161.485788, 11.792908, 19.17, GO14016_LC|GO14046_LC|GO14062_LC
248847931, 162.278352, 11.853336, 18.979, GO14016_LC|GO14046_LC|GO14019_LC|GO14062_LC
248852659, 164.291396, 11.974845, 17.935, GO14016_LC|GO14046_LC|GO14062_LC
248855947, 157.641723, 12.058361, 17.421, GO14016_LC|GO14046_LC|GO14062_LC|GO14062_SC
248856078, 157.859124, 12.061226, 17.919, GO14016_LC|GO14046_LC|GO14062_LC
248859191, 163.38543, 12.139124, 18.785, GO14016_LC
248860199, 161.586279, 12.163733, 17.719, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248860933, 165.298301, 12.182773, 18.266, GO14016_LC|GO14046_LC|GO14062_LC
248862231, 165.582346, 12.214978, 18.241, GO14016_LC|GO14046_LC|GO14062_LC
248863169, 163.729545, 12.238126, 17.176, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC|GO14062_SC
248864134, 161.099559, 12.262693, 19.561, GO14016_LC
248868684, 165.463833, 12.37804, 18.694, GO14016_LC|GO14062_LC
248876152, 159.47137, 12.56662, 18.473, GO14016_LC
248877141, 158.043481, 12.592193, 18.681, GO14016_LC|GO14046_LC|GO14062_LC
248878156, 164.650496, 12.616661, 18.134, GO14016_LC
248879407, 158.468084, 12.650648, 17.753, GO14016_LC
248880967, 163.967705, 12.694972, 19.744, GO14016_LC
248882907, 157.557131, 12.74763, 19.863, GO14016_LC
248885981, 157.551183, 12.830734, 17.832, GO14016_LC|GO14046_LC|GO14062_LC
248886689, 165.314173, 12.850511, 17.365, GO14016_LC
248887616, 159.634399, 12.878036, 19.291, GO14016_LC
248891097, 159.645406, 12.978538, 17.021, GO14016_LC|GO14046_LC|GO14019_LC|GO14062_LC|GO14016_SC|GO14062_SC
248891537, 159.167549, 12.990752, 17.715, GO14016_LC|GO14046_LC|GO14062_LC
248893512, 161.848569, 13.047247, 19.38, GO14016_LC
