EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220354492, 10.6808443, 3.790287, 8.767, GO8051_LC|GO8032_LC|GO8077_LC|GO8031_LC|GO8033_LC|GO8028_LC
220358193, 15.013999, 3.8659921, 10.824, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220358346, 16.2210026, 3.8686481, 9.446, GO8051_LC|GO8077_LC|GO8066_LC|GO8031_LC|GO8028_LC
220360242, 18.7556057, 3.906157, 10.058, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220363759, 14.910964, 3.9779871, 9.542, GO8077_LC|GO8028_LC
220364891, 18.3382492, 4.001832, 10.318, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220365308, 9.5190887, 4.010385, 10.346, GO8077_LC|GO8066_LC|GO8028_LC
220367707, 12.984416, 4.0602908, 7.762, GO8051_LC|GO8077_LC|GO8031_LC|GO8002_LC|GO8028_LC
220369033, 13.3312073, 4.086225, 7.141, GO8077_LC|GO8031_LC|GO8028_LC
220369391, 8.8151989, 4.0932679, 7.971, GO8077_LC|GO8031_LC|GO8002_LC|GO8028_LC
220373025, 10.5967951, 4.1665711, 7.736, GO8077_LC|GO8031_LC|GO8002_LC|GO8028_LC
220374993, 14.6768417, 4.2058001, 7.511, GO8051_LC|GO8077_LC|GO8031_LC|GO8002_LC|GO8028_LC|GO8002_SC
220376741, 15.7834568, 4.2425108, 9.412, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220379223, 8.8692837, 4.294672, 7.679, GO8077_LC|GO8031_LC|GO8028_LC
220379315, 14.5783882, 4.2965908, 8.007, GO8077_LC|GO8031_LC|GO8028_LC
220380118, 11.2911921, 4.312995, 10.675, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220383462, 15.5588551, 4.3830352, 9.741, GO8068_LC|GO8051_LC|GO8077_LC|GO8028_LC
220392240, 14.5951891, 4.5593581, 9.471, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220402486, 12.8073559, 4.7642221, 11.148, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8033_LC|GO8028_LC
220405962, 15.211256, 4.8339548, 7.653, GO8051_LC|GO8077_LC|GO8031_LC|GO8002_LC|GO8028_LC|GO8002_SC
220411067, 16.8544922, 4.9317899, 8.995, GO8051_LC|GO8077_LC|GO8028_LC
220412253, 12.788825, 4.9553871, 10.824, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8033_LC|GO8028_LC
220413541, 16.1382599, 4.9800062, 9.531, GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220416385, 16.8436928, 5.0356178, 10.294, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220416730, 15.6935368, 5.042181, 9.775, GO8077_LC|GO8066_LC|GO8028_LC
220424451, 16.8726807, 5.1914039, 8.926, GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220426843, 15.9194841, 5.2354078, 8.353, GO8077_LC|GO8028_LC
220432441, 11.6866894, 5.3457608, 9.065, GO8051_LC|GO8077_LC|GO8028_LC
220432503, 14.7988815, 5.347002, 10.609, GO8068_LC|GO8032_LC|GO8077_LC|GO8033_LC|GO8028_LC
220434361, 14.7715988, 5.38133, 10.278, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8031_LC|GO8033_LC|GO8028_LC
220434748, 12.2912569, 5.3886142, 12.359, GO8018_LC|GO8048_LC|GO8011_LC|GO8028_LC|GO8049_LC|GO8018_SC|GO8048_SC|GO8049_SC
220438747, 17.6716003, 5.4648118, 11.133, GO8068_LC|GO8051_LC|GO8077_LC|GO8028_LC
220438798, 17.4012852, 5.466094, 10.112, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220440803, 14.7271223, 5.504777, 10.0, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8033_LC|GO8028_LC
220441070, 12.2941532, 5.5097351, 9.98, GO8051_LC|GO8032_LC|GO8077_LC|GO8031_LC|GO8033_LC|GO8028_LC
220443813, 16.1685677, 5.5597539, 11.28, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220444485, 10.418046, 5.573638, 9.155, GO8051_LC|GO8077_LC|GO8028_LC
220445073, 17.5371799, 5.5845442, 10.53, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220449471, 16.5180264, 5.671289, 9.767, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220452404, 15.7698574, 5.7303901, 10.018, GO8077_LC|GO8066_LC|GO8028_LC
220454144, 15.6417837, 5.7650561, 8.922, GO8077_LC|GO8028_LC
220457268, 23.4747295, 5.8270712, 9.778, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220457577, 23.5601711, 5.8329248, 9.456, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220462056, 21.775362, 5.9231801, 10.126, GO8051_LC|GO8077_LC|GO8028_LC
220462292, 21.5102615, 5.9282641, 9.931, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220465007, 13.3990507, 5.9865799, 9.279, GO8051_LC|GO8077_LC|GO8028_LC
220466383, 23.308094, 6.0131149, 10.22, GO8066_LC|GO8042_LC|GO8028_LC
220466722, 22.0250549, 6.0197968, 10.169, GO8077_LC|GO8028_LC|GO8080_LC
220470099, 11.5241423, 6.0901899, 8.422, GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220470884, 12.7200699, 6.1065302, 10.695, GO8051_LC|GO8077_LC|GO8028_LC
220471694, 18.2793808, 6.1244359, 10.195, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220473076, 10.880621, 6.154191, 9.427, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220474857, 17.9882107, 6.1947918, 10.315, GO8051_LC|GO8077_LC|GO8028_LC
220477607, 21.2471008, 6.2585449, 8.745, GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220477704, 24.0810966, 6.2610269, 9.562, GO8068_LC|GO8077_LC|GO8028_LC
220480814, 22.8344536, 6.3333368, 10.217, GO8051_LC|GO8037_LC|GO8077_LC|GO8028_LC
220484407, 21.8561096, 6.4159188, 8.733, GO8051_LC|GO8077_LC|GO8031_LC|GO8028_LC
220487529, 21.1057949, 6.4842992, 8.038, GO8051_LC|GO8032_LC|GO8077_LC|GO8031_LC|GO8028_LC
220492184, 23.6922455, 6.5863938, 8.043, GO8077_LC|GO8031_LC|GO8028_LC
220492497, 18.1627445, 6.5933399, 8.517, GO8066_LC|GO8028_LC
220493286, 20.1575069, 6.6113248, 11.008, GO8068_LC|GO8032_LC|GO8077_LC|GO8028_LC
220493704, 20.1723232, 6.6212878, 9.624, GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220495236, 18.1666584, 6.6583052, 9.681, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220495553, 13.1692629, 6.6652622, 9.129, GO8077_LC|GO8028_LC
220499562, 23.6825562, 6.761261, 9.187, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220500159, 18.1916008, 6.77668, 9.059, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8033_LC|GO8028_LC
220504698, 18.5695305, 6.8763251, 9.131, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8033_LC|GO8028_LC
