# Summary of K2 Program GO13053

Title: The Open Cluster NGC 1817: A Meeting of Asteroseismology, Stellar Pulsation, and Eclipsing Binaries

PI: Sandquist, Eric (San Diego State University)
CoIs: Arentoft, Torben; Grundahl, Frank; Stello, Dennis; Brogaard, Karsten

NGC 1817 is a rich and relatively young (~1 billion yr) open cluster in the Campaign 13 field. Thanks to its mass, the cluster has a large population of evolved stars that will impact a diverse set of fields in stellar astrophysics. For example, compared to a cluster of similar age (NGC 6811) in the main Kepler field, NGC 1817 has a factor of 5 times more red clump stars. The red clump stars are bright and cool enough to be well suited for asteroseismic analysis, including age determinations. Such a large sample will give us the new opportunity to do a statistically robust asteroseismic age determination for young core-helium burning stars. Previously this could only be done for older clusters that have a heavily populated first-ascent giant branch, and our analysis will produce a much improved calibration of these more massive giant stars.

NGC 1817 is also young enough that main sequence stars fall in the pulsational instability strip, and it is old enough that the most evolved main sequence turnoff stars are also within the strip. The cluster is already known to have a large population of delta Sct and gamma Dor pulsating stars that will benefit from uninterrupted observations, and the sensitivity of the K2 photometry will allow the detection of many additional low-amplitude pulsators that could not be detected from the ground. But the cluster also provides us with the rare opportunity to precisely measure the mass and radius of a pulsating delta Sct star, as one is already known to be part of a cluster eclipsing binary. This would provide a benchmark case for the study of delta Sct pulsators, and the evolved nature of that star will produce an independent determination of the cluster age for comparison with asteroseismic results.

We propose long cadence observations of all of the known red clump star members of the cluster (for asteroseismology), all of the known pulsating stars (with short cadence observations of 3 known to have high frequency modes), the bright eclipsing binary (again with short cadence), and all other bright main sequence members for the detection of additional pulsators and eclipsing systems.

# Targets requested by this program that have been observed (924)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
246870120, 77.844357, 16.462784, 17.063, GO13053_LC
246870124, 77.606696, 16.462847, 15.439, GO13053_LC
246870206, 77.629546, 16.463588, 15.637, GO13053_LC
246870223, 78.286068, 16.463838, 14.516, GO13053_LC
246870330, 77.547203, 16.464996, 17.127, GO13053_LC
246870359, 77.560353, 16.465241, 14.766, GO13053_LC
246870545, 77.748199, 16.466922, 15.819, GO13053_LC
246870657, 78.353662, 16.468007, 15.5, GO13053_LC
246870766, 78.27827, 16.469032, 17.334, GO13053_LC
246870850, 77.750811, 16.46988, 15.892, GO13053_LC
246871342, 78.215977, 16.474593, 16.299, GO13053_LC
246871396, 77.851744, 16.475092, 15.497, GO13053_LC
246871400, 78.284734, 16.475105, 16.976, GO13053_LC
246871409, 77.565677, 16.475223, 16.109, GO13053_LC
246871499, 77.594562, 16.476095, 16.307, GO13053_LC
246871536, 77.763905, 16.476387, 16.881, GO13053_LC
246871597, 77.596593, 16.476905, 15.396, GO13053_LC
246871645, 78.57376, 16.477337, 13.401, GO13053_LC|GO13122_LC
246871689, 77.700822, 16.477834, 11.783, GO13053_LC|GO13123_LC
246871762, 78.228276, 16.478582, 16.862, GO13053_LC
246871817, 78.241541, 16.479033, 16.481, GO13053_LC
246871849, 77.696522, 16.479271, 15.391, GO13053_LC
246871920, 78.37443, 16.48002, 15.487, GO13053_LC|GO13019_LC
246872283, 78.498528, 16.483506, 16.43, GO13053_LC
246872342, 77.908869, 16.483991, 15.258, GO13053_LC|GO13019_LC
246872377, 78.588833, 16.484371, 14.618, GO13053_LC|GO13019_LC
246872634, 78.429047, 16.486888, 15.38, GO13053_LC
246872711, 77.896703, 16.487611, 16.033, GO13053_LC
