EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
230771822, 255.579457, -19.28136, 11.046, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
230772968, 255.521594, -19.270647, 11.096, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
230787141, 256.967373, -19.130969, 10.712, GO11123_LC|GO11098_LC|GO11019_LC
230789455, 256.927172, -19.107667, 10.689, GO11123_LC|GO11098_LC|GO11019_LC
230800306, 255.263617, -19.004314, 10.506, GO11098_LC
230800661, 255.984437, -19.000862, 10.321, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
230801168, 255.330451, -18.995816, 10.741, GO11098_LC
230805548, 255.982723, -18.953122, 11.47, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11065_LC
230837524, 256.529602, -18.63938, 10.28, GO11071_LC|GO11122_LC|GO11098_LC|GO11065_LC
230838275, 256.575894, -18.631964, 9.771, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC|GO11019_LC
230841921, 256.642599, -18.59536, 10.637, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11019_LC
230846834, 255.973682, -18.54729, 9.951, GO11123_LC|GO11098_LC
230849955, 256.392143, -18.516284, 11.428, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
230851410, 255.942358, -18.502111, 9.85, GO11123_LC|GO11098_LC
230852744, 256.315467, -18.4888, 11.2, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
230887397, 256.527959, -18.13817, 11.29, GO11123_LC|GO11098_LC
230891419, 256.548741, -18.097748, 10.758, GO11123_LC|GO11098_LC|GO11019_LC
230897111, 257.0015, -18.040371, 11.109, GO11071_LC|GO11098_LC
230897226, 257.003026, -18.038876, 10.038, GO11071_LC|GO11002_LC|GO11098_LC|GO11024_LC|GO11019_LC
230972224, 256.684808, -25.61151, 10.975, GO11098_LC
230973280, 256.975396, -25.605531, 9.984, GO11098_LC
230980749, 256.946021, -25.56315, 10.388, GO11098_LC
230985080, 256.706153, -25.538226, 10.549, GO11122_LC|GO11098_LC
230997200, 256.246728, -25.467522, 10.98, GO11098_LC
231005716, 256.279797, -25.416639, 10.643, GO11098_LC
231006495, 255.444736, -25.41187, 9.971, GO11071_LC|GO11122_LC|GO11098_LC|GO11065_LC|GO11024_LC
231009884, 255.40207, -25.39176, 10.998, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
231016723, 256.17968, -25.351393, 9.99, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
231022389, 256.253574, -25.317443, 9.495, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
