MORC to RA, DEC conversion for the 4 Seasons of Kepler	
Jeffrey Van Cleve & Steve Bryson, Kepler Science Office	
07/08/09                                                                    Spring                            Summer                           Fall                         Winter                         Spring, again
      mod             out              row              column        RA              DEC              RA             DEC             RA              DEC              RA             DEC               RA              DEC     
   4.0000000e+00   4.0000000e+00   1.0380000e+03   1.1060000e+03   2.8645209e+02   3.8898586e+01   2.9798152e+02   4.0974064e+01   2.9576202e+02   4.9913385e+01   2.8248605e+02   4.7502249e+01   2.8645209e+02   3.8898583e+01
   6.0000000e+00   1.0000000e+00   2.5000000e+01   1.7000000e+01   2.8498691e+02   4.7288606e+01   2.8681753e+02   4.0581995e+01   2.9580524e+02   4.1456608e+01   2.9505955e+02   4.8270331e+01   2.8498691e+02   4.7288608e+01
   6.0000000e+00   1.0000000e+00   2.5000000e+01   1.1060000e+03   2.8359139e+02   4.6555280e+01   2.8772570e+02   3.9600478e+01   2.9721479e+02   4.2039733e+01   2.9414298e+02   4.9310253e+01   2.8359139e+02   4.6555281e+01
   6.0000000e+00   1.0000000e+00   5.3500000e+02   5.5000000e+02   2.8379287e+02   4.7377423e+01   2.8666685e+02   3.9776111e+01   2.9685451e+02   4.1250921e+01   2.9535938e+02   4.9059943e+01   2.8379287e+02   4.7377425e+01
   6.0000000e+00   1.0000000e+00   1.0380000e+03   1.7000000e+01   2.8397723e+02   4.8177523e+01   2.8563048e+02   3.9925867e+01   2.9652753e+02   4.0480041e+01   2.9653456e+02   4.8815886e+01   2.8397723e+02   4.8177525e+01
   6.0000000e+00   1.0000000e+00   1.0380000e+03   1.1060000e+03   2.8257131e+02   4.7431934e+01   2.8654663e+02   3.8952817e+01   2.9792337e+02   4.1054254e+01   2.9563954e+02   4.9868210e+01   2.8257131e+02   4.7431937e+01
   6.0000000e+00   2.0000000e+00   2.5000000e+01   1.7000000e+01   2.8221935e+02   4.5798301e+01   2.8861649e+02   3.8601682e+01   2.9866512e+02   4.2610324e+01   2.9317804e+02   5.0353360e+01   2.8221934e+02   4.5798303e+01
   6.0000000e+00   2.0000000e+00   2.5000000e+01   1.1060000e+03   2.8357748e+02   4.6547785e+01   2.8773474e+02   3.9590521e+01   2.9722917e+02   4.2045535e+01   2.9413352e+02   4.9320727e+01   2.8357748e+02   4.6547787e+01
   6.0000000e+00   2.0000000e+00   5.3500000e+02   5.5000000e+02   2.8236776e+02   4.6605897e+01   2.8759460e+02   3.8764103e+01   2.9831470e+02   4.1838754e+01   2.9440463e+02   5.0135623e+01   2.8236775e+02   4.6605899e+01
   6.0000000e+00   2.0000000e+00   1.0380000e+03   1.7000000e+01   2.8119147e+02   4.6661877e+01   2.8744673e+02   3.7962842e+01   2.9935792e+02   4.1616848e+01   2.9469517e+02   5.0923879e+01   2.8119147e+02   4.6661879e+01
