#cadence number, black residual [ADU/LC/pixel]
141735, -3.783572
141736, -0.849951
141737, -4.071845
141738, -0.380801
141739, NaN
141740, -1.372225
141741, -1.689045
141742, -3.740774
141743, -3.654686
141744, -5.047346
141745, -4.188924
141746, -3.523340
141747, -5.263797
141748, -1.300540
141749, -1.162931
141750, -2.688039
141751, -6.346048
141752, -1.148788
141753, -0.399362
141754, -6.104017
141755, -3.866709
141756, -5.222966
141757, -1.386306
141758, -5.863954
141759, -2.967457
141760, -4.836307
141761, -2.347007
141762, -3.458897
141763, -4.173675
141764, -3.740282
141765, -4.125957
141766, -2.717063
141767, -4.153013
141768, -3.917870
141769, -5.710963
141770, -2.785934
141771, -2.839554
141772, -3.619759
141773, -5.044887
141774, -3.881467
141775, 0.082169
141776, -4.411770
141777, 0.380208
141778, -5.597621
141779, -3.505139
141780, -4.287803
141781, -0.416003
141782, -3.877136
141783, -3.186660
141784, -1.185973
141785, -1.530955
141786, -4.158917
141787, 1.697830
141788, -4.219424
141789, -5.319385
141790, -4.872710
141791, -4.307480
141792, -3.445123
141793, -5.110314
141794, -0.476807
141795, -4.770880
141796, -3.732903
141797, -3.288688
141798, -1.968342
141799, -2.675741
141800, -4.003958
141801, -4.900259
141802, -3.767338
141803, -4.288787
141804, -5.384320
141805, -4.736937
141806, -1.355584
141807, -2.876449
141808, -4.389633
141809, -1.173812
141810, -1.607760
141811, -4.293706
141812, -1.660883
141813, 1.421593
141814, -4.260255
141815, -1.850335
141816, -0.991400
141817, -3.927708
141818, -4.003958
141819, -1.887068
141820, -4.010353
141821, -0.462726
141822, -4.682333
141823, -5.070467
141824, -3.618283
141825, -3.128318
141826, -1.865696
141827, -4.268618
141828, -1.398466
141829, -3.386091
141830, -1.917540
141831, -3.185874
141832, -4.611002
141833, -1.698807
141834, -0.358829
141835, NaN
141836, -3.203092
141837, -4.212045
141838, -4.364544
141839, -3.418558
141840, -0.970919
141841, -3.430365
141842, -3.891797
141843, -4.709881
141844, -4.709881
141845, -2.936465
141846, -3.238019
141847, -4.049216
141848, -3.640420
141849, -4.001006
141850, -5.164426
141851, -2.723458
141852, -4.375367
141853, -3.911475
141854, -4.067909
141855, -1.917540
141856, -4.825485
141857, -4.174167
141858, -2.994021
141859, -3.498743
141860, -3.842604
141861, -3.774226
141862, -1.218464
141863, -3.760451
141864, -4.065941
141865, -5.687842
141866, -0.005097
141867, -2.680168
141868, -3.384123
141869, -4.959290
141870, -4.409310
141871, -4.210078
141872, -5.697681
141873, -5.528456
141874, -3.590243
141875, -4.827945
141876, -5.310530
141877, -4.322730
141878, -1.291579
141879, -4.057087
141880, -3.195221
141881, -3.574501
141882, -3.910983
141883, -0.938917
141884, -2.937449
141885, -0.468187
141886, -1.258297
141887, -3.177512
141888, -0.931876
141889, -4.665607
141890, -3.849983
141891, -1.714647
141892, -3.529243
141893, -4.191876
141894, -4.713816
141895, -1.682644
141896, -2.631825
141897, -4.505237
141898, -4.908621
141899, -4.256811
141900, -2.629991
141901, -4.499334
141902, -3.673379
141903, -3.027472
141904, -4.251400
141905, -1.659586
141906, -4.540164
141907, -4.092998
141908, -4.205650
141909, -7.810620
141910, -2.544374
141911, -1.372225
141912, -0.705942
141913, -4.625760
141914, -6.103525
141915, -6.452305
141916, -5.116217
141917, -5.562891
141918, -5.433513
141919, -5.059153
141920, -2.890402
141921, -4.440794
141922, -5.439908
141923, -4.973557
141924, -4.386189
141925, -1.310748
141926, -2.606864
141927, -1.370304
141928, -3.826541
141929, -4.066433
141930, -1.751769
141931, NaN
141932, -3.635501
141933, -4.393568
141934, -1.839455
141935, -5.305119
141936, -4.653309
141937, -3.921313
141938, -4.827453
141939, -3.015174
