EPIC,rafloat,decfloat,Kp,InvestigationIDs
200252578,,,,GO19045|134860-LC-SSO_TILE
200252579,,,,GO19045|134860-LC-SSO_TILE
200252580,,,,GO19045|134860-LC-SSO_TILE
200252581,,,,GO19045|134860-LC-SSO_TILE
200252582,,,,GO19045|134860-LC-SSO_TILE
200252583,,,,GO19045|134860-LC-SSO_TILE
200252584,,,,GO19045|134860-LC-SSO_TILE
200252585,,,,GO19045|134860-LC-SSO_TILE
200252586,,,,GO19045|134860-LC-SSO_TILE
200252587,,,,GO19045|134860-LC-SSO_TILE
200252588,,,,GO19045|134860-LC-SSO_TILE
200252589,,,,GO19045|134860-LC-SSO_TILE
200252590,,,,GO19045|134860-LC-SSO_TILE
200252591,,,,GO19045|134860-LC-SSO_TILE
200252592,,,,GO19045|134860-LC-SSO_TILE
200252593,,,,GO19045|134860-LC-SSO_TILE
200252594,,,,GO19045|134860-LC-SSO_TILE
200252595,,,,GO19045|134860-LC-SSO_TILE
200252596,,,,GO19045|134860-LC-SSO_TILE
200252597,,,,GO19045|134860-LC-SSO_TILE
200252598,,,,GO19045|134860-LC-SSO_TILE
200252599,,,,GO19045|134860-LC-SSO_TILE
200252600,,,,GO19045|134860-LC-SSO_TILE
200252601,,,,GO19045|134860-LC-SSO_TILE
200252602,,,,GO19045|134860-LC-SSO_TILE
200252603,,,,GO19045|134860-LC-SSO_TILE
200252604,,,,GO19045|134860-LC-SSO_TILE
200252605,,,,GO19045|134860-LC-SSO_TILE
200252606,,,,GO19045|134860-LC-SSO_TILE
200252607,,,,GO19045|134860-LC-SSO_TILE
200252608,,,,GO19045|134860-LC-SSO_TILE
200252609,,,,GO19045|134860-LC-SSO_TILE
200252610,,,,GO19045|134860-LC-SSO_TILE
200252611,,,,GO19045|134860-LC-SSO_TILE
200252612,,,,GO19045|134860-LC-SSO_TILE
200252613,,,,GO19045|134860-LC-SSO_TILE
200252614,,,,GO19045|134860-LC-SSO_TILE
200252615,,,,GO19045|134860-LC-SSO_TILE
200252616,,,,GO19045|134860-LC-SSO_TILE
200252617,,,,GO19045|134860-LC-SSO_TILE
200252618,,,,GO19045|134860-LC-SSO_TILE
200252619,,,,GO19045|134860-LC-SSO_TILE
200252620,,,,GO19045|134860-LC-SSO_TILE
200252621,,,,GO19045|134860-LC-SSO_TILE
200252622,,,,GO19045|134860-LC-SSO_TILE
200252623,,,,GO19045|134860-LC-SSO_TILE
200252624,,,,GO19045|134860-LC-SSO_TILE
200252625,,,,GO19045|134860-LC-SSO_TILE
200252626,,,,GO19045|134860-LC-SSO_TILE
200252627,,,,GO19045|134860-LC-SSO_TILE
200252628,,,,GO19045|134860-LC-SSO_TILE
200252629,,,,GO19045|134860-LC-SSO_TILE
200252630,,,,GO19045|134860-LC-SSO_TILE
200252631,,,,GO19045|134860-LC-SSO_TILE
200252632,,,,GO19045|134860-LC-SSO_TILE
200252633,,,,GO19045|134860-LC-SSO_TILE
200252634,,,,GO19045|134860-LC-SSO_TILE
200252635,,,,GO19045|134860-LC-SSO_TILE
200252636,,,,GO19045|134860-LC-SSO_TILE
200252637,,,,GO19045|134860-LC-SSO_TILE
200252638,,,,GO19045|134860-LC-SSO_TILE
200252639,,,,GO19045|134860-LC-SSO_TILE
200252640,,,,GO19045|134860-LC-SSO_TILE
200252641,,,,GO19045|134860-LC-SSO_TILE
200252642,,,,GO19045|134860-LC-SSO_TILE
200252643,,,,GO19045|134860-LC-SSO_TILE
200252644,,,,GO19045|134860-LC-SSO_TILE
200252645,,,,GO19045|134860-LC-SSO_TILE
200252646,,,,GO19045|134860-LC-SSO_TILE
200252647,,,,GO19045|134860-LC-SSO_TILE
200252648,,,,GO19045|134860-LC-SSO_TILE
