EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220183668, 19.7792797, -0.640312, 15.79, GO8056_LC|GO8031_LC
220183708, 16.4265137, -0.638611, 16.143, GO8056_LC
220184049, 17.714468, -0.624173, 15.634, GO8056_LC|GO8031_LC
220184413, 17.1581211, -0.609477, 14.425, GO8056_LC|GO8031_LC
220184553, 17.1747112, -0.603146, 14.837, GO8056_LC|GO8031_LC
220184691, 17.3263588, -0.597446, 16.043, GO8056_LC
220185586, 19.1079903, -0.561027, 15.773, GO8056_LC|GO8031_LC
220185759, 16.0979195, -0.554107, 16.419, GO8056_LC
220186062, 12.5723639, -0.541331, 16.077, GO8056_LC
220186173, 13.3001719, -0.535633, 16.034, GO8056_LC|GO8012_LC
220186496, 12.5875978, -0.523492, 15.85, GO8056_LC|GO8031_LC
220186649, 17.723074, -0.517445, 15.152, GO8056_LC|GO8012_LC|GO8032_LC
220186787, 19.6452694, -0.512028, 15.716, GO8056_LC|GO8032_LC
220186909, 16.1370354, -0.507199, 16.443, GO8056_LC
220186998, 16.141655, -0.503857, 16.334, GO8056_LC
220187223, 12.3347731, -0.495924, 15.716, GO8056_LC|GO8031_LC
220187257, 16.2884712, -0.494794, 15.868, GO8056_LC|GO8031_LC
220187274, 19.7373295, -0.49409, 15.828, GO8056_LC|GO8031_LC
220187321, 19.8356533, -0.492373, 16.167, GO8056_LC
220187552, 19.9754562, -0.48349, 12.836, GO8056_LC|GO8042_LC
220187641, 13.9157648, -0.480062, 15.156, GO8056_LC|GO8031_LC
220188008, 14.1666756, -0.464901, 16.028, GO8056_LC
220188114, 18.2735043, -0.461537, 15.606, GO8056_LC|GO8031_LC
220188503, 19.0072212, -0.446475, 15.812, GO8056_LC|GO8031_LC
220188573, 13.5090752, -0.443803, 16.279, GO8056_LC|GO8012_LC
220188924, 20.0696983, -0.428848, 14.418, GO8056_LC|GO8032_LC|GO8042_LC
220189273, 11.9813786, -0.414009, 16.317, GO8056_LC
220189671, 19.0238514, -0.399044, 16.208, GO8056_LC
220189767, 11.9579468, -0.395557, 15.741, GO8056_LC|GO8032_LC
220189915, 12.5830517, -0.38947, 15.165, GO8056_LC|GO8032_LC
220190883, 19.3879375, -0.352056, 16.264, GO8056_LC
220190933, 12.7096968, -0.34998, 16.071, GO8056_LC
220191080, 16.8124542, -0.344277, 15.972, GO8056_LC|GO8031_LC
220191143, 18.1445599, -0.341463, 15.48, GO8056_LC|GO8032_LC
220191421, 19.8195763, -0.331608, 15.335, GO8056_LC|GO8031_LC
220191506, 12.9026432, -0.328131, 14.974, GO8056_LC|GO8032_LC
220191598, 16.9515629, -0.324408, 15.833, GO8056_LC|GO8031_LC
220191607, 17.4333725, -0.324169, 16.493, GO8056_LC
220191707, 19.2277451, -0.320089, 14.979, GO8056_LC|GO8042_LC
220191843, 14.1668453, -0.315538, 15.478, GO8056_LC|GO8031_LC
220192108, 12.4965773, -0.304729, 16.115, GO8056_LC
220192141, 12.2088594, -0.303214, 15.427, GO8056_LC
220192258, 17.9997635, -0.298552, 15.698, GO8056_LC|GO8031_LC
220192732, 13.5958004, -0.281121, 15.863, GO8056_LC|GO8032_LC
220192822, 15.3898802, -0.277401, 15.48, GO8056_LC|GO8031_LC
220192908, 19.1160698, -0.273877, 15.866, GO8056_LC|GO8031_LC
220192936, 19.1792812, -0.272954, 15.9, GO8056_LC|GO8031_LC
220192971, 18.8334637, -0.271845, 16.429, GO8056_LC
220193206, 16.7445335, -0.263179, 15.932, GO8056_LC|GO8031_LC
220193286, 14.5910082, -0.259744, 15.605, GO8056_LC|GO8032_LC
220193799, 12.111249, -0.24001, 15.731, GO8056_LC
220194058, 17.5988464, -0.229039, 16.447, GO8056_LC
220194522, 12.8480921, -0.211227, 16.272, GO8056_LC
220194613, 12.1912098, -0.20765, 16.057, GO8056_LC
220194794, 20.4293709, -0.200344, 13.987, GO8056_LC|GO8032_LC|GO8042_LC
220195033, 12.0879192, -0.190754, 16.247, GO8056_LC
220195282, 18.1431084, -0.181678, 16.436, GO8056_LC
220195339, 19.8481064, -0.179287, 15.827, GO8056_LC|GO8031_LC
220195491, 13.1200714, -0.173989, 15.978, GO8056_LC
220195854, 17.5927086, -0.159818, 16.261, GO8056_LC
220195939, 12.4597254, -0.156388, 16.469, GO8056_LC
220196139, 19.7382088, -0.149274, 14.816, GO8056_LC|GO8032_LC
220196450, 20.1426525, -0.137099, 16.137, GO8056_LC
220196505, 15.6651506, -0.134734, 14.928, GO8056_LC|GO8031_LC
