EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200004626, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004627, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004628, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004629, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004630, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004631, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004632, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004633, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004634, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004635, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004636, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004637, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004638, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004639, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004640, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004641, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004642, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004643, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004644, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004645, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004646, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004647, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004648, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004649, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004650, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004651, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004652, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004653, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004654, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004655, , , , GO3057_LC|GO3060_LC|GO3115_LC
