# Summary of K2 Program GO17063

Title: The K2 M Dwarf Project

PI: Dressing, Courtney (University of California, Berkeley)
CoIs: Ian Crossfield (MIT), Joshua Schlieder (NASA Goddard), Kevin Hardegree-Ullman(University of Toledo), Jessie Christiansen (NExScI/IPAC), Erik Petigura (Caltech)



# Targets requested by this program that have been observed (3210)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212448300, 198.4093323, -13.8389988, 14.913, GO17011_LC|GO17063_LC|GO17068_LC
212448320, 200.6318207, -13.8385897, 16.499, GO17063_LC
212448446, 200.7467499, -13.8353968, 17.346, GO17063_LC
212449036, 202.4268188, -13.8224735, 12.941, GO17049_LC|GO17063_LC|GO17065_LC
212449075, 204.3580933, -13.8218317, 14.299, GO17049_LC|GO17063_LC|GO17068_LC
212449098, 200.6304474, -13.8215551, 12.861, GO17049_LC|GO17063_LC|GO17065_LC|GO17068_LC
212449290, 202.6764984, -13.8176394, 16.309, GO17063_LC|GO17064_LC
212449574, 200.6659698, -13.8114815, 16.828, GO17063_LC
212449982, 201.6400146, -13.8030434, 15.205, GO17063_LC|GO17068_LC
212450284, 205.4367828, -13.7962313, 15.756, GO17063_LC|GO17068_LC
212450401, 204.0775452, -13.7932835, 15.043, GO17063_LC|GO17068_LC
212450585, 197.5747681, -13.7893515, 16.925, GO17063_LC
212450699, 203.7199707, -13.7870541, 16.977, GO17063_LC
212450936, 202.5852966, -13.7822924, 15.646, GO17063_LC|GO17068_LC
212450966, 198.1051025, -13.7818594, 15.617, GO17063_LC|GO17068_LC
212451559, 205.1509399, -13.7693558, 16.612, GO17063_LC
212451755, 202.0439301, -13.7651863, 14.281, GO17049_LC|GO17063_LC|GO17068_LC
212451812, 201.1305084, -13.7638779, 15.689, GO17063_LC|GO17068_LC
212452162, 205.6498413, -13.7562799, 17.737, GO17063_LC
212452277, 202.1634827, -13.7535439, 16.641, GO17063_LC
212452446, 201.4191437, -13.7495108, 14.068, GO17049_LC|GO17063_LC|GO17068_LC
212452643, 199.1382599, -13.7450962, 15.849, GO17063_LC|GO17068_LC
212453419, 198.6107635, -13.7289419, 16.276, GO17063_LC
212453479, 200.7616119, -13.7274446, 16.057, GO17063_LC|GO17068_LC
