# Summary of K2 Program GO8066

Title: Catch K2-Twos: Finding the Best Planets for Ground-Based Follow Up Spectrophotometry

PI: Mandell, Avi M (NASA GSFC)
CoIs: Morris, Brett M; Huitson, Catherine; Angerhausen, Daniel

Studying extrasolar planets is one of the major frontiers of astronomy today.  The field has transformed from simple identification to comprehensive categorization and characterization of exoplanets and exoplanetary systems. Analyses of data provided by the NASA's Kepler mission has revolutionized this field by compiling a statistically significant number of transiting planets and planetary candidates, providing  time series data for a large sample of systems that can be utilized in consistent comparative studies (e.g. Angerhausen et al., 2015).

One promising new way to further characterize some of these transiting systems are methods using ground-based multi-object spectrographs for transit and eclipse spectrophotometry such as GMOS in the optical (e.g. Stevenson et al., 2014; Huitson et al., 2015, in prep.) or MOSFIRE in the infrared (e.g. Crossfield et al., 2013; Morris et al, 2015, subm.).  These emerging ground-based methods allow access to larger apertures and better time-sampling of transit lightcurves than equivalent HST methods. They therefore have the potential to observe transits at the precisions achievable from space but at a fraction of the cost and with the possibility of repeated measurements in wavelength bands not available from space until the start of JWST. 

However, most of the planets found by the Kepler telescope have host stars that are too faint to be followed up with spectrophotometric techniques even with space based platforms such as Hubble or Spitzer. The ground-based methods are even further constrained by the need for similarly bright comparison stars in close neighborhood to the observed host star of the transiting system. In order to reduce instrumental systematics and optimize the time-sampling needed for transit atmosphere observations, the comparison stars must be bright, of similar magnitude to the exoplanet host star and be within a few arcmin.

To identify ideal candidates for ground-based characterization studies, we therefore we propose to use the single, visible wavelength instrument on board of K2 to obtain high-precision long cadence photometry on of the best suited 500 pairs of similarly bright stars (mag < 12, separation < 5 arcmin). Assuming an occurrence of well-vetted planet candidates with P d 30 d of about ~2%, we expect to find ~20 systems that will be accessible for spectrophotometric follow up from the ground.
220424950, 10.574872, 5.2003751, 10.233, GO8066_LC|GO8042_LC
220426372, 16.0815315, 5.2259841, 10.335, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220428840, 9.8347301, 5.2733598, 10.702, GO8066_LC|GO8042_LC|GO8036_LC
220428960, 15.9612932, 5.2757359, 11.148, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220431289, 12.6031895, 5.3224468, 11.335, GO8032_LC|GO8077_LC|GO8066_LC
220432247, 15.9738159, 5.341826, 11.438, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220432493, 15.1155005, 5.346849, 10.424, GO8066_LC|GO8042_LC
220432707, 9.8218374, 5.3504729, 10.854, GO8066_LC|GO8042_LC
220433809, 18.5523396, 5.371316, 11.453, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220433984, 12.5869007, 5.3745441, 11.448, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220434361, 14.7715988, 5.38133, 10.278, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8031_LC|GO8033_LC|GO8028_LC
220434390, 14.7728319, 5.3819361, 9.508, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220434492, 15.0975971, 5.383893, 10.883, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220434992, 11.8764019, 5.393611, 10.866, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220435457, 11.9177027, 5.402307, 10.684, GO8066_LC|GO8042_LC|GO8036_LC
220436706, 11.8022213, 5.4265928, 10.989, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220437366, 18.5572109, 5.4391971, 11.442, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220441786, 22.2408562, 5.5232921, 11.078, GO8032_LC|GO8077_LC|GO8066_LC
220443813, 16.1685677, 5.5597539, 11.28, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220444290, 22.2442265, 5.5697389, 11.607, GO8066_LC|GO8042_LC
220444552, 21.9957199, 5.5747571, 11.17, GO8077_LC|GO8066_LC|GO8042_LC
220446555, 13.4873972, 5.6134572, 11.381, GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220446841, 22.0347614, 5.6189718, 10.876, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220446885, 16.1637421, 5.6196609, 11.387, GO8077_LC|GO8066_LC
220449250, 16.4613132, 5.6662669, 10.6, GO8066_LC|GO8042_LC
220449265, 22.2598476, 5.6666751, 11.466, GO8068_LC|GO8051_LC|GO8077_LC|GO8059_LC|GO8066_LC
220449345, 22.3332748, 5.6683922, 10.824, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220449471, 16.5180264, 5.671289, 9.767, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220449568, 13.5026913, 5.6733179, 11.198, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220451237, 22.2946529, 5.7072701, 9.262, GO8066_LC|GO8042_LC
220451656, 23.2489586, 5.7155051, 9.782, GO8068_LC|GO8032_LC|GO8066_LC
220452204, 15.8359909, 5.7266431, 10.326, GO8051_LC|GO8066_LC|GO8042_LC
220452404, 15.7698574, 5.7303901, 10.018, GO8077_LC|GO8066_LC|GO8028_LC
220452790, 12.8568096, 5.7375751, 10.957, GO8066_LC|GO8042_LC
220454432, 23.2195053, 5.7710562, 11.313, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220454958, 15.8115826, 5.7812381, 11.496, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8042_LC|GO8033_LC
220455383, 12.817379, 5.789824, 11.274, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220455442, 12.8684816, 5.7908378, 11.053, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8042_LC|GO8033_LC
220465730, 11.1797094, 6.0007038, 11.235, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220466383, 23.308094, 6.0131149, 10.22, GO8066_LC|GO8042_LC|GO8028_LC
220466570, 23.2350254, 6.0166759, 11.246, GO8077_LC|GO8066_LC
220468576, 21.4604626, 6.0579338, 11.134, GO8051_LC|GO8032_LC|GO8066_LC|GO8042_LC
220469713, 11.1659927, 6.0820031, 9.065, GO8066_LC|GO8042_LC
220470556, 21.443079, 6.1002688, 10.677, GO8066_LC|GO8042_LC
220473119, 11.7685013, 6.154932, 11.549, GO8068_LC|GO8077_LC|GO8066_LC
220475023, 11.7740517, 6.1980581, 11.366, GO8077_LC|GO8066_LC
220476127, 14.3287716, 6.2239642, 10.541, GO8066_LC|GO8042_LC
220476217, 16.1457348, 6.2259989, 10.088, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220477223, 16.6435928, 6.2495432, 11.402, GO8068_LC|GO8032_LC|GO8077_LC|GO8055_LC|GO8066_LC|GO8033_LC
220477837, 14.3000546, 6.2641692, 10.204, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220477870, 16.1455402, 6.2647338, 10.022, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220478018, 16.610323, 6.2685919, 10.386, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220479732, 11.2258377, 6.3081722, 11.178, GO8066_LC|GO8042_LC|GO8036_LC
220482663, 11.236762, 6.376821, 11.413, GO8077_LC|GO8066_LC
220482771, 11.8893318, 6.3792868, 10.826, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220483091, 23.6196918, 6.3864112, 9.492, GO8066_LC|GO8042_LC
220483593, 11.7986546, 6.3973579, 10.461, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220485263, 12.051075, 6.4350319, 9.318, GO8066_LC|GO8042_LC
220485374, 23.5979538, 6.4375949, 9.582, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220485621, 11.8489656, 6.4424481, 10.785, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC|GO8042_LC
220487451, 11.9886866, 6.4822688, 11.063, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220487899, 22.7148857, 6.4926682, 10.59, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220489334, 22.7368183, 6.5240111, 11.367, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220490019, 23.0252552, 6.53929, 11.498, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220491158, 20.0351143, 6.564332, 11.106, GO8068_LC|GO8077_LC|GO8066_LC
220491435, 19.9556923, 6.5698709, 9.432, GO8066_LC
220492099, 23.0495262, 6.5843692, 11.523, GO8077_LC|GO8066_LC
220492497, 18.1627445, 6.5933399, 8.517, GO8066_LC|GO8028_LC
220492557, 23.0262718, 6.594645, 9.726, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220494756, 23.3251305, 6.64604, 11.096, GO8066_LC|GO8042_LC
220495236, 18.1666584, 6.6583052, 9.681, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220495349, 23.7899189, 6.6610641, 10.424, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220495589, 23.2807751, 6.6663122, 9.383, GO8066_LC|GO8042_LC
220497234, 22.7989693, 6.704021, 10.549, GO8051_LC|GO8077_LC|GO8066_LC
220498181, 21.7020626, 6.726954, 10.222, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220498239, 22.8287048, 6.7288122, 11.509, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8042_LC
220498341, 18.660511, 6.7312779, 10.915, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220498880, 18.6928062, 6.7438092, 11.508, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220500018, 19.2770882, 6.7729259, 11.169, GO8066_LC
220500697, 13.1105022, 6.7885509, 10.853, GO8068_LC|GO8077_LC|GO8059_LC|GO8066_LC
220500779, 22.8515072, 6.7900939, 10.906, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220501117, 21.6785736, 6.7979259, 11.179, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220501313, 13.039012, 6.8030062, 11.138, GO8056_LC|GO8066_LC|GO8042_LC|GO8008_LC|GO8049_LC
220502887, 19.3519249, 6.8387122, 11.494, GO8051_LC|GO8077_LC|GO8066_LC
220503340, 19.3025723, 6.8484702, 11.465, GO8066_LC|GO8042_LC
220504920, 18.4429951, 6.881074, 8.446, GO8066_LC
220505515, 15.696085, 6.89291, 11.534, GO8066_LC|GO8042_LC
220507467, 23.2881088, 6.936902, 11.088, GO8032_LC|GO8077_LC|GO8066_LC
220508582, 15.6922083, 6.9616442, 11.459, GO8077_LC|GO8066_LC
220508611, 18.441534, 6.962461, 9.801, GO8066_LC|GO8042_LC
220508631, 23.2608643, 6.9629321, 10.998, GO8066_LC|GO8042_LC
220510221, 15.6236668, 6.9985328, 9.832, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220511595, 18.446207, 7.0303211, 11.347, GO8068_LC|GO8077_LC|GO8066_LC
220512271, 12.046999, 7.0470572, 11.323, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220514858, 19.3897381, 7.1070199, 11.189, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8042_LC
220514934, 12.0176687, 7.1087928, 9.899, GO8051_LC|GO8066_LC|GO8042_LC
220516706, 19.3936176, 7.1500812, 9.676, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220519429, 10.798769, 7.2092071, 11.137, GO8077_LC|GO8066_LC
220520389, 14.4402676, 7.229692, 10.826, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220520477, 14.516922, 7.2313981, 9.662, GO8066_LC|GO8042_LC
220521895, 10.7365685, 7.2616, 11.222, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220523082, 14.6215582, 7.2857432, 11.15, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220523907, 14.5558348, 7.3033228, 9.275, GO8066_LC|GO8042_LC
220530061, 18.1895275, 7.4373569, 11.116, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220530298, 18.1281834, 7.4427929, 9.683, GO8066_LC|GO8042_LC
220537820, 18.3168373, 7.6158228, 11.527, GO8068_LC|GO8077_LC|GO8066_LC|GO8042_LC
220538008, 9.7209148, 7.6202288, 10.825, GO8066_LC|GO8042_LC|GO8036_LC
220538518, 9.6403961, 7.6328249, 10.878, GO8032_LC|GO8077_LC|GO8066_LC
220539225, 18.3574524, 7.6487651, 11.329, GO8066_LC|GO8042_LC|GO8036_LC
220539539, 10.0412149, 7.6560378, 8.695, GO8066_LC
220540875, 19.0716381, 7.6866932, 9.43, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220542420, 10.0743427, 7.720438, 9.501, GO8077_LC|GO8066_LC|GO8028_LC
220542553, 10.1745214, 7.723278, 11.297, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220543205, 19.1113682, 7.7374411, 11.271, GO8066_LC|GO8042_LC
220543647, 19.2286835, 7.747263, 11.049, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8042_LC|GO8033_LC
220544279, 10.2465582, 7.7604899, 11.597, GO8066_LC|GO8042_LC|GO8036_LC
220544741, 11.0822582, 7.7707472, 8.536, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8031_LC|GO8028_LC
220546093, 10.5826149, 7.7999439, 11.37, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220546230, 19.2264347, 7.8028541, 10.721, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220546479, 10.3126163, 7.8090582, 11.458, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220547198, 11.1132898, 7.8254552, 9.77, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220547218, 10.5369558, 7.8258061, 10.247, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220558851, 9.305006, 8.1036205, 10.164, GO8032_LC|GO8077_LC|GO8066_LC
220561059, 9.301528, 8.1520967, 11.304, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220561331, 14.4572353, 8.1581306, 11.74, GO8068_LC|GO8077_LC|GO8066_LC
220563448, 9.8222485, 8.2072086, 9.016, GO8066_LC|GO8042_LC|GO8031_LC
220563581, 14.4222984, 8.2103558, 9.267, GO8066_LC|GO8042_LC|GO8031_LC|GO8036_LC
220564271, 9.879611, 8.2262173, 9.41, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220564784, 14.4583511, 8.2383537, 10.563, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220567688, 17.2529507, 8.3082256, 10.803, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220568138, 9.5987663, 8.3195, 10.861, GO8066_LC|GO8042_LC
220569010, 17.2900543, 8.3411007, 11.325, GO8066_LC|GO8042_LC|GO8036_LC
220569578, 9.6214924, 8.355113, 11.551, GO8032_LC|GO8077_LC|GO8066_LC
220573228, 16.2769451, 8.444664, 11.057, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220574720, 9.746911, 8.4781199, 9.609, GO8066_LC|GO8042_LC
220575724, 16.3017254, 8.5009089, 10.929, GO8032_LC|GO8077_LC|GO8066_LC
220576563, 9.6981668, 8.5203571, 11.234, GO8066_LC|GO8042_LC
220578571, 17.7475224, 8.5652208, 11.761, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220579973, 11.8604517, 8.5948677, 10.05, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220580192, 17.7236423, 8.5997286, 10.876, GO8066_LC|GO8042_LC
220581311, 11.7962713, 8.6232567, 10.895, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220582324, 11.8075638, 8.6440039, 9.125, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220594153, 18.3072357, 8.8961229, 11.601, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220595848, 14.8315763, 8.9334898, 11.27, GO8032_LC|GO8077_LC|GO8066_LC
220596332, 18.2721291, 8.9436007, 11.004, GO8066_LC|GO8042_LC|GO8036_LC
220596964, 14.780158, 8.9575472, 11.379, GO8032_LC|GO8077_LC|GO8066_LC
220599221, 17.4790154, 9.0077477, 11.169, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220599340, 13.5154133, 9.0103369, 11.508, GO8077_LC|GO8066_LC
220600494, 13.5495386, 9.0365067, 11.244, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220602210, 17.5297222, 9.0743618, 9.976, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220603348, 11.11479, 9.0999832, 11.386, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220605097, 11.0761852, 9.13904, 11.252, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220605471, 11.0082226, 9.1463623, 10.396, GO8066_LC|GO8042_LC
220606707, 11.4220171, 9.1736698, 11.315, GO8066_LC|GO8042_LC
220608530, 11.3667202, 9.2141085, 11.123, GO8066_LC|GO8042_LC
220614491, 16.4744225, 9.3469658, 10.06, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220617893, 16.4933376, 9.4272442, 11.155, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220620193, 15.4488182, 9.4805984, 11.555, GO8066_LC|GO8042_LC|GO8036_LC
220620700, 17.9899464, 9.4925728, 10.726, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220620920, 18.0378704, 9.4976072, 10.223, GO8066_LC|GO8042_LC
220621919, 14.3700008, 9.519722, 8.947, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8002_LC|GO8028_LC
220622287, 14.3020506, 9.5281096, 9.03, GO8066_LC
220622397, 18.2226868, 9.5303183, 11.6, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220623107, 15.4627657, 9.5463972, 11.151, GO8032_LC|GO8077_LC|GO8066_LC
220624740, 18.2501907, 9.5854673, 11.679, GO8056_LC|GO8068_LC|GO8066_LC|GO8042_LC|GO8008_LC
220624940, 13.239995, 9.5898457, 10.547, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220626255, 18.2162151, 9.6205311, 10.304, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220628196, 13.2597179, 9.6632299, 10.863, GO8066_LC|GO8042_LC
220629198, 11.9572945, 9.6863375, 11.361, GO8066_LC|GO8042_LC
220629316, 14.2242966, 9.6889257, 10.498, GO8066_LC
220629717, 12.0377235, 9.6979237, 11.136, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220631011, 13.2887201, 9.7260571, 11.073, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220631178, 13.3505468, 9.7297478, 11.104, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220631572, 14.1998072, 9.7387009, 10.38, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220632591, 13.4179354, 9.7623606, 11.419, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220633878, 12.412735, 9.7926979, 9.909, GO8066_LC|GO8042_LC
220635617, 12.1236277, 9.8339796, 10.872, GO8068_LC|GO8077_LC|GO8066_LC
220636054, 12.200388, 9.8434534, 9.225, GO8066_LC|GO8042_LC
220636243, 12.3647251, 9.8477764, 9.558, GO8066_LC|GO8042_LC
220637675, 14.0312462, 9.880846, 11.742, GO8077_LC|GO8066_LC
220638706, 14.0551662, 9.9048986, 9.932, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220640904, 17.7462406, 9.9594831, 10.047, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220642383, 17.6760559, 9.9944, 11.298, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220647362, 19.736475, 10.1171408, 11.645, GO8068_LC|GO8077_LC|GO8066_LC|GO8042_LC
220647446, 19.7855759, 10.1193628, 10.766, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8042_LC
220651572, 12.0316277, 10.2177172, 9.119, GO8066_LC|GO8042_LC
220652905, 19.0747204, 10.2503014, 9.286, GO8066_LC|GO8031_LC
220653241, 12.0723581, 10.2579346, 8.695, GO8066_LC|GO8036_LC
220660427, 20.829937, 10.4376068, 11.034, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220660897, 20.8296452, 10.4501905, 11.575, GO8068_LC|GO8032_LC|GO8066_LC|GO8042_LC
220662081, 20.8802052, 10.4803581, 10.416, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220662964, 20.4828758, 10.5024738, 9.453, GO8066_LC|GO8042_LC
220664135, 20.5509949, 10.5315056, 10.596, GO8066_LC
220666220, 18.190836, 10.5822964, 11.587, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8042_LC
220669348, 18.2251663, 10.6572132, 11.206, GO8066_LC|GO8042_LC
220673263, 19.1140575, 10.7537374, 11.427, GO8077_LC|GO8066_LC
220675582, 20.1252346, 10.814517, 11.066, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220676213, 19.1442261, 10.8299818, 10.526, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8042_LC
220676900, 16.0946579, 10.8481073, 11.628, GO8056_LC|GO8068_LC|GO8013_LC|GO8032_LC|GO8066_LC|GO8042_LC|GO8008_LC
220677031, 16.0580406, 10.8513088, 10.584, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220677352, 16.0459728, 10.8600826, 11.281, GO8056_LC|GO8066_LC|GO8042_LC|GO8008_LC
220677810, 20.1341934, 10.8728304, 11.353, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220678764, 20.4746666, 10.8962336, 10.799, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220679399, 20.5156612, 10.9131584, 10.835, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220680994, 20.3733501, 10.9546509, 10.47, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220682221, 20.3381386, 10.9891644, 10.785, GO8066_LC|GO8042_LC
220682935, 16.115015, 11.0062408, 11.283, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220683262, 18.3056087, 11.0149775, 10.451, GO8077_LC|GO8066_LC|GO8028_LC
220683883, 16.0404339, 11.0312719, 10.857, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220685843, 19.9723015, 11.0827723, 9.335, GO8066_LC|GO8042_LC
220686321, 20.0332127, 11.0948725, 11.404, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220686348, 18.3194561, 11.095562, 10.129, GO8032_LC|GO8077_LC|GO8066_LC
220686906, 15.9076557, 11.1112452, 11.687, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220687476, 14.2313337, 11.1267319, 11.405, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220688193, 13.3561821, 11.1456699, 10.521, GO8032_LC|GO8077_LC|GO8066_LC
220688348, 13.3164854, 11.1509762, 10.89, GO8066_LC|GO8042_LC
220689194, 14.2049837, 11.174202, 11.453, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220689710, 19.2564964, 11.1877604, 11.695, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220689862, 15.8971796, 11.1919336, 11.366, GO8068_LC|GO8032_LC|GO8066_LC
220691760, 15.867486, 11.24617, 11.027, GO8066_LC|GO8042_LC
220692304, 19.2625141, 11.2607527, 10.735, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220699421, 14.298955, 11.4560661, 9.138, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220699537, 15.5771933, 11.4596176, 11.453, GO8066_LC|GO8042_LC
220700288, 14.3429031, 11.4805441, 10.894, GO8066_LC|GO8042_LC
220701812, 15.5807972, 11.521884, 9.624, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220704165, 15.560647, 11.5870762, 11.263, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220708401, 16.4268456, 11.7091312, 11.605, GO8066_LC|GO8042_LC
220709430, 16.3535671, 11.7374382, 11.122, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220710320, 15.9527092, 11.7629471, 10.698, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220710598, 16.0000782, 11.7711897, 10.81, GO8032_LC|GO8077_LC|GO8066_LC
220713801, 13.9729824, 11.8651667, 11.31, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220714963, 13.9835291, 11.9010429, 10.401, GO8051_LC|GO8077_LC|GO8066_LC
220715353, 15.3407278, 11.9127264, 8.437, GO8051_LC|GO8077_LC|GO8066_LC|GO8002_LC|GO8028_LC
220716268, 15.6839819, 11.9405451, 9.536, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220716782, 15.3357944, 11.9549646, 9.761, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220716953, 15.6262484, 11.9608984, 10.229, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220717400, 19.8602009, 11.974967, 11.392, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220717732, 19.7888184, 11.9844942, 10.163, GO8066_LC|GO8042_LC
220717938, 14.8993893, 11.9910021, 11.22, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220718159, 14.5666628, 11.9976492, 10.068, GO8066_LC|GO8042_LC
220719285, 14.5000057, 12.0334234, 10.167, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220720162, 15.0618229, 12.0616999, 10.213, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220720768, 15.0206633, 12.0822325, 10.114, GO8066_LC|GO8042_LC
220721611, 15.0136786, 12.1080246, 10.957, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220722432, 14.7378674, 12.1328659, 9.811, GO8066_LC|GO8042_LC
220723205, 14.6813908, 12.1567936, 10.614, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220727623, 19.4022694, 12.2964134, 9.068, GO8066_LC|GO8042_LC|GO8031_LC
220728394, 19.3617954, 12.3211079, 10.481, GO8066_LC|GO8042_LC
229228998, , , , GO8066_LC
