EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
229165995, 189.537969, 2.426821, 18.928, GO10902_LC|GO10018_LC|GO10019_LC|GO10006_LC|GO10902_SC
229181916, 184.163972, 2.886914, 19.337, GO10019_LC
248368922, , , , GO10018_LC|GO10005_LC|GO10019_LC|GO10048_LC|GO10048_SC
248368942, , , , GO10019_LC|GO10006_LC
248368947, , , , GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
248368953, , , , GO10018_LC|GO10019_LC|GO10006_LC
248368956, , , , GO10018_LC|GO10019_LC|GO10006_LC|GO10011_LC
248368957, , , , GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
248368960, , , , GO10019_LC|GO10006_LC
248368962, , , , GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
248368967, , , , GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10018_SC|GO10048_SC|GO10011_SC
248368970, , , , GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
248369126, , , , GO10018_LC|GO10019_LC
248369127, , , , GO10018_LC|GO10019_LC
248369129, , , , GO10018_LC|GO10019_LC
248369130, , , , GO10019_LC
