EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200161319, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161320, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161321, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161322, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161323, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161324, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161325, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161326, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161327, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161328, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161329, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161330, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161331, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161332, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161333, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161334, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161335, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161336, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161337, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161338, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161339, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
