EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
228960916, 192.74455, -2.199854, 17.961, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
228961516, 190.720941, -2.189525, 18.167, GO10019_LC|GO10006_LC
228966191, 193.208487, -2.102299, 18.982, GO10006_LC|GO10048_LC|GO10048_SC
228969068, 186.503376, -2.049876, 19.741, GO10006_LC|GO10048_LC|GO10048_SC
228970015, 189.555949, -2.032103, 19.721, GO10006_LC|GO10048_LC|GO10048_SC
228971952, 192.986281, -1.997019, 19.273, GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228974142, 193.190753, -1.956497, 17.846, GO10018_LC|GO10019_LC|GO10006_LC
228979673, 189.269588, -1.85638, 17.399, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228982888, 193.335463, -1.798448, 19.716, GO10006_LC|GO10048_LC|GO10048_SC
228984805, 192.164577, -1.765018, 19.289, GO10019_LC|GO10006_LC
228985602, 190.145392, -1.749926, 19.34, GO10019_LC|GO10006_LC
228988175, 183.714519, -1.703129, 18.853, GO10019_LC|GO10006_LC
228990612, 189.653074, -1.660033, 18.986, GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228997493, 187.893777, -1.5357, 14.541, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10028_LC|GO10048_SC
228999011, 186.817972, -1.510217, 19.306, GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
229002689, 185.239517, -1.445102, 18.649, GO10018_LC|GO10006_LC|GO10048_LC|GO10048_SC
229009797, 191.119054, -1.316083, 14.066, GO10018_LC|GO10006_LC|GO10048_LC|GO10048_SC
229010089, 191.157108, -1.310707, 19.034, GO10019_LC|GO10006_LC
229011123, 185.515905, -1.29128, 18.17, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
229013546, 187.784663, -1.243987, 17.902, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
229014963, 183.70791, -1.212501, 18.263, GO10065_LC|GO10005_LC|GO10006_LC|GO10052_LC
229016181, 191.953853, -1.186465, 16.843, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
229021782, 193.545259, -1.068994, 17.723, GO10018_LC|GO10006_LC
229022713, 192.91579, -1.048361, 18.442, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10018_SC|GO10048_SC
229023601, 184.748871, -1.028917, 18.831, GO10018_LC|GO10006_LC|GO10052_LC
229024814, 189.792404, -1.00148, 19.355, GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
229027251, 183.953049, -0.943746, 18.899, GO10006_LC
229029998, 190.373603, -0.880439, 18.984, GO10902_LC|GO10019_LC|GO10006_LC|GO10902_SC
229035574, 189.636899, -0.758303, 18.449, GO10018_LC|GO10019_LC|GO10006_LC
229037256, 186.849962, -0.721189, 18.618, GO10018_LC|GO10019_LC|GO10006_LC
229037979, 184.680381, -0.704863, 19.095, GO10019_LC|GO10006_LC
