EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
246405960, 345.939153, -0.810276, 17.829, GO12078_LC
246406354, 346.132657, -0.799423, 18.021, GO12078_LC
246406550, 348.616241, -0.793062, 17.923, GO12078_LC
246406577, 351.393448, -0.792255, 17.271, GO12078_LC
246407494, 351.088418, -0.764315, 17.944, GO12078_LC
246407701, 351.699686, -0.757843, 17.96, GO12078_LC
246407779, 349.797272, -0.755549, 17.082, GO12078_LC
246407842, 351.287642, -0.753903, 17.33, GO12078_LC
246407912, 352.030447, -0.75199, 17.063, GO12078_LC
246407931, 353.137682, -0.751392, 18.066, GO12078_LC
246408059, 350.836847, -0.747541, 17.207, GO12078_LC
246408064, 351.043388, -0.747362, 17.75, GO12078_LC
246408148, 352.095678, -0.74506, 18.403, GO12078_LC
246408163, 346.286005, -0.744789, 17.553, GO12078_LC
246408176, 351.712336, -0.744409, 17.416, GO12078_LC
246408194, 347.47796, -0.743541, 18.077, GO12078_LC
246408199, 346.376418, -0.743354, 17.669, GO12078_LC
246408234, 352.252344, -0.742385, 16.716, GO12078_LC
246408360, 346.110051, -0.738871, 17.723, GO12078_LC
246408600, 351.029802, -0.73185, 18.365, GO12078_LC
246408758, 351.987075, -0.727123, 17.586, GO12078_LC
246408840, 348.272594, -0.724416, 18.095, GO12078_LC
246408965, 353.412125, -0.720324, 17.943, GO12078_LC
246409223, 349.686009, -0.712764, 18.25, GO12078_LC
246409301, 347.248636, -0.710391, 17.565, GO12078_LC
246409392, 346.407498, -0.707288, 17.856, GO12078_LC
246409804, 347.143226, -0.693525, 17.727, GO12078_LC
246409990, 347.107149, -0.687414, 17.857, GO12078_LC
246410106, 347.45546, -0.683253, 17.816, GO12078_LC
246410193, 351.88245, -0.680323, 17.811, GO12078_LC
246410207, 351.1921, -0.680031, 17.747, GO12078_LC
246410276, 349.408816, -0.677905, 17.419, GO12078_LC
246410279, 349.618255, -0.677811, 17.637, GO12078_LC
246410387, 353.045757, -0.6743, 17.332, GO12078_LC
246410460, 348.337875, -0.672188, 17.911, GO12078_LC
246410654, 353.124695, -0.666362, 17.417, GO12078_LC
246410663, 352.32216, -0.666065, 17.071, GO12078_LC
246410729, 351.705964, -0.664268, 18.242, GO12078_LC
246411516, 351.391266, -0.639652, 17.61, GO12078_LC
246411768, 351.895568, -0.632094, 17.737, GO12078_LC
246411921, 348.697857, -0.626996, 17.748, GO12078_LC
246412147, 348.872266, -0.619489, 18.272, GO12078_LC
246412268, 348.617946, -0.61589, 18.208, GO12078_LC
246412274, 353.155743, -0.615754, 16.961, GO12078_LC
246412349, 347.347905, -0.613274, 18.095, GO12078_LC
246412609, 351.469618, -0.604539, 18.1, GO12078_LC
246412915, 352.118797, -0.595041, 17.043, GO12078_LC
246413007, 351.55732, -0.591682, 18.348, GO12078_LC
246413068, 352.632471, -0.590102, 18.16, GO12078_LC
246413376, 351.28965, -0.581138, 17.756, GO12078_LC
246413422, 349.810781, -0.579851, 18.262, GO12078_LC
246413495, 349.315642, -0.577688, 18.261, GO12078_LC
246413627, 347.106623, -0.573531, 18.159, GO12078_LC
246413700, 348.031201, -0.571781, 18.256, GO12078_LC
246413813, 348.804671, -0.568149, 17.707, GO12078_LC
246413957, 346.92044, -0.564162, 18.159, GO12078_LC
246414040, 347.235783, -0.561228, 18.568, GO12078_LC
246414086, 347.409272, -0.559752, 18.234, GO12078_LC
246414277, 351.08217, -0.554202, 18.102, GO12078_LC
246414280, 349.172421, -0.554144, 18.049, GO12078_LC
246414366, 348.641456, -0.551799, 17.705, GO12078_LC
246414523, 347.823004, -0.546747, 18.139, GO12078_LC
246414549, 348.520171, -0.545898, 18.129, GO12078_LC
246414666, 351.939272, -0.542047, 17.528, GO12078_LC
246414732, 348.589823, -0.54, 17.303, GO12078_LC
246414834, 352.942427, -0.536596, 17.511, GO12078_LC
246414947, 347.400387, -0.532932, 18.715, GO12078_LC
246414975, 352.855669, -0.532054, 18.082, GO12078_LC
246415304, 351.316337, -0.52221, 17.376, GO12078_LC
246415411, 349.771333, -0.51904, 17.272, GO12078_LC
246415543, 351.672152, -0.514682, 18.259, GO12078_LC
246415742, 351.448264, -0.508349, 17.691, GO12078_LC
246415900, 352.897683, -0.503814, 17.322, GO12078_LC
246415935, 351.504916, -0.502597, 18.12, GO12078_LC
246416241, 352.153227, -0.492671, 18.413, GO12078_LC
246416668, 348.867121, -0.479873, 17.805, GO12078_LC
246416765, 348.083649, -0.476954, 17.942, GO12078_LC
246416802, 352.458093, -0.475715, 17.966, GO12078_LC|GO12123_LC
246417059, 346.850212, -0.467314, 18.174, GO12078_LC
246417111, 348.080724, -0.465693, 18.257, GO12078_LC
246417425, 349.538183, -0.45564, 17.778, GO12078_LC
246417748, 348.888929, -0.445954, 18.38, GO12078_LC
246417975, 352.678905, -0.43876, 18.009, GO12078_LC
246418118, 349.608684, -0.434364, 18.324, GO12078_LC
246418177, 347.969513, -0.43259, 18.214, GO12078_LC
246418399, 352.421646, -0.424686, 17.933, GO12078_LC
246418400, 347.793084, -0.424676, 17.948, GO12078_LC
246418569, 351.396, -0.418211, 18.123, GO12078_LC
246418631, 348.63817, -0.416333, 17.821, GO12078_LC
246419941, 350.348913, -0.375894, 17.533, GO12078_LC
246420039, 346.80863, -0.372858, 18.108, GO12078_LC
246420492, 347.654374, -0.359645, 18.396, GO12078_LC
246421006, 347.165339, -0.34304, 17.821, GO12078_LC
246421079, 349.032336, -0.340506, 18.397, GO12078_LC
246421238, 350.269589, -0.335151, 18.13, GO12078_LC
246421274, 352.488951, -0.333828, 17.891, GO12078_LC
246421367, 352.95538, -0.331386, 17.589, GO12078_LC
246421397, 346.875351, -0.330571, 17.002, GO12078_LC
246421412, 347.031648, -0.330095, 18.088, GO12078_LC
246421549, 349.353227, -0.325562, 18.173, GO12078_LC
246421560, 350.438889, -0.325162, 18.233, GO12078_LC
246421685, 347.130837, -0.321181, 18.145, GO12078_LC
246421928, 352.75541, -0.313622, 17.668, GO12078_LC
246422034, 352.651063, -0.310143, 17.531, GO12078_LC
246422103, 349.083228, -0.307657, 17.88, GO12078_LC
246422748, 347.48044, -0.287727, 17.77, GO12078_LC
246422858, 346.90634, -0.284063, 17.285, GO12078_LC
246422905, 348.441437, -0.282639, 17.871, GO12078_LC
246423469, 352.704906, -0.265355, 17.43, GO12078_LC
246423532, 350.228744, -0.262966, 17.542, GO12078_LC
246423563, 347.279743, -0.262119, 16.956, GO12078_LC
246423633, 347.653225, -0.259737, 18.243, GO12078_LC
246423698, 351.909422, -0.257959, 16.96, GO12078_LC
246423710, 349.401254, -0.25775, 18.373, GO12078_LC
246423835, 348.746639, -0.253742, 17.798, GO12078_LC
246423949, 351.632105, -0.250347, 17.98, GO12078_LC
246424119, 348.179088, -0.245252, 17.595, GO12078_LC
246424181, 352.846679, -0.243182, 18.063, GO12078_LC
246424238, 347.839284, -0.241234, 17.633, GO12078_LC
246424422, 347.62965, -0.234849, 17.965, GO12078_LC
