EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
228733803, 189.606307, -9.677529, 11.306, GO10068_LC|GO10077_LC|GO10066_LC
228734420, 186.848449, -9.647408, 10.658, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228734453, 188.030131, -9.645602, 11.653, GO10077_LC|GO10066_LC
228734599, 184.680295, -9.638761, 10.651, GO10051_LC|GO10077_LC|GO10066_LC
228734658, 186.710427, -9.636546, 9.139, GO10066_LC|GO10042_LC
228734666, 186.653015, -9.636111, 9.749, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10028_LC
228735094, 184.716678, -9.615944, 10.63, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228735160, 189.858642, -9.612459, 11.184, GO10032_LC|GO10077_LC|GO10066_LC
228735776, 186.807861, -9.582666, 11.159, GO10032_LC|GO10077_LC|GO10066_LC
228739927, 188.12659, -9.386808, 9.843, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10031_LC
228740699, 188.060692, -9.34878, 11.711, GO10066_LC
228740999, 188.093471, -9.334496, 11.614, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228741109, 186.251027, -9.328948, 10.993, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC
228742653, 186.254328, -9.25804, 10.218, GO10066_LC|GO10042_LC|GO10036_LC
228743298, 186.672945, -9.229231, 11.68, GO10032_LC|GO10077_LC|GO10066_LC
228744664, 186.674921, -9.164471, 11.803, GO10066_LC|GO10042_LC
228745047, 183.554174, -9.145252, 11.481, GO10032_LC|GO10066_LC|GO10042_LC|GO10036_LC
228745504, 183.515803, -9.123514, 10.826, GO10068_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10066_LC
228745606, 189.614541, -9.119728, 11.447, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC
228745762, 189.612793, -9.112482, 11.583, GO10066_LC|GO10042_LC|GO10036_LC
228746641, 185.903836, -9.074953, 11.045, GO10066_LC|GO10042_LC
228747509, 183.2885, -9.03378, 11.193, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228747569, 185.918983, -9.031172, 11.181, GO10051_LC|GO10066_LC|GO10042_LC
228748428, 184.119392, -8.992803, 11.218, GO10066_LC|GO10042_LC|GO10036_LC
228748567, 184.83341, -8.986662, 11.209, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228748659, 183.305418, -8.982234, 9.448, GO10066_LC|GO10042_LC
228749553, 184.07319, -8.943431, 11.112, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228750060, 184.884207, -8.920786, 10.794, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC|GO10042_LC
228750698, 186.081099, -8.891854, 11.222, GO10066_LC|GO10042_LC|GO10036_LC
228751384, 186.039849, -8.861916, 11.189, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
