EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
221867796, 264.902058, -28.34473, 10.854, GO11123_LC|GO11052_LC
221875561, 265.327649, -28.332742, 10.637, GO11071_LC|GO11002_LC|GO11036_LC|GO11052_LC
221877798, 264.837642, -28.32945, 10.112, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC
221885765, 265.219232, -28.31738, 11.224, GO11071_LC|GO11122_LC|GO11052_LC
221913841, 264.594104, -28.274884, 9.61, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
221937780, 264.935818, -28.238687, 10.659, GO11122_LC|GO11052_LC
221940106, 265.716725, -28.235153, 9.811, GO11122_LC|GO11024_LC|GO11052_LC
221949828, 265.847607, -28.220429, 10.368, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
221951859, 265.418784, -28.217354, 10.597, GO11122_LC|GO11098_LC|GO11052_LC|GO11019_LC
221966513, 265.453055, -28.195395, 11.375, GO11122_LC|GO11086_LC|GO11052_LC
221976262, 264.197129, -28.180955, 9.929, GO11122_LC|GO11101_LC|GO11024_LC|GO11052_LC|GO11019_LC
222012749, 265.689876, -28.12606, 11.529, GO11122_LC|GO11038_LC|GO11052_LC
222030430, 265.566721, -28.099408, 11.679, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
222033759, 264.831831, -28.094281, 11.15, GO11123_LC|GO11071_LC|GO11122_LC|GO11101_LC|GO11082_LC|GO11052_LC
222036504, 264.534911, -28.090242, 10.964, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
222047920, 265.790952, -28.073127, 11.221, GO11071_LC|GO11122_LC|GO11052_LC
222048105, 265.252721, -28.072825, 9.323, GO11122_LC|GO11002_LC|GO11024_LC|GO11052_LC|GO11019_LC
222064452, 265.182363, -28.048012, 10.861, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC
222076240, 265.191686, -28.030076, 9.265, GO11122_LC|GO11002_LC|GO11024_LC|GO11086_LC|GO11052_LC|GO11019_LC
222085402, 264.637029, -28.016213, 10.758, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
222109349, 264.59374, -27.979801, 10.338, GO11049_LC|GO11122_LC|GO11052_LC|GO11019_LC
222158882, 265.572501, -27.904437, 10.737, GO11049_LC|GO11122_LC|GO11052_LC
222161340, 265.518023, -27.900746, 10.443, GO11071_LC|GO11052_LC
222166487, 265.179224, -27.893052, 8.32, GO11107_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
222179058, 265.62884, -27.873966, 11.437, GO11071_LC|GO11122_LC|GO11052_LC
222198942, 265.708243, -27.843913, 8.936, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
222795861, 266.506581, -26.972294, 7.336, GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC
222832299, 267.075872, -26.918521, 10.731, GO11071_LC|GO11122_LC|GO11052_LC
222833839, 266.419462, -26.916192, 11.178, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
222850932, 267.243553, -26.890393, 9.787, GO11122_LC|GO11101_LC|GO11082_LC|GO11052_LC|GO11019_LC|GO11127_LC
222857804, 266.389071, -26.880289, 11.371, GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC
222862402, 266.399388, -26.873582, 10.83, GO11122_LC|GO11098_LC|GO11052_LC
222883344, 266.455819, -26.842644, 10.885, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
222899071, 266.363701, -26.819294, 10.978, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
222902284, 266.715508, -26.814435, 11.527, GO11122_LC|GO11038_LC|GO11052_LC
222916264, 267.725465, -26.793382, 10.439, GO11122_LC|GO11052_LC
222916870, 267.611172, -26.792476, 9.837, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
222924475, 267.694511, -26.781343, 11.339, GO11071_LC|GO11122_LC|GO11052_LC
222934309, 267.007332, -26.766561, 9.627, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
222947097, 266.477698, -26.747617, 10.957, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
222977532, 267.689753, -26.701768, 9.973, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
222985225, 267.018664, -26.690262, 10.293, GO11122_LC|GO11024_LC|GO11052_LC
222993946, 267.586627, -26.677075, 10.588, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
223011634, 266.417627, -26.650037, 9.916, GO11122_LC|GO11052_LC
223025528, 267.521136, -26.628744, 9.08, GO11122_LC|GO11002_LC|GO11101_LC|GO11056_LC|GO11038_LC|GO11052_LC|GO11019_LC|GO11127_LC
223026791, 266.991226, -26.62688, 10.347, GO11122_LC|GO11052_LC
223039032, 268.085607, -26.60833, 10.392, GO11122_LC|GO11052_LC
223040306, 266.352103, -26.606367, 11.424, GO11071_LC|GO11122_LC|GO11052_LC
223047648, 267.879631, -26.595146, 11.203, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
223051619, 266.202879, -26.588935, 8.86, GO11071_LC|GO11002_LC|GO11024_LC|GO11086_LC|GO11052_LC
