EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220155590, 13.1545467, -1.690941, 13.65, GO8077_LC|GO8042_LC
220155823, 18.0787354, -1.682725, 13.653, GO8077_LC
220156392, 17.6231842, -1.6630729, 13.377, GO8077_LC
220156473, 16.8717346, -1.660275, 12.45, GO8068_LC|GO8032_LC|GO8077_LC
220156598, 18.0584488, -1.655686, 11.983, GO8068_LC|GO8077_LC
220156902, 13.5333223, -1.645274, 13.473, GO8077_LC
220156941, 17.846241, -1.643847, 12.515, GO8068_LC|GO8077_LC
220157156, 16.4199505, -1.636658, 13.889, GO8077_LC|GO8042_LC
220157219, 18.4863071, -1.634503, 13.372, GO8077_LC
220157233, 17.5632973, -1.633991, 12.884, GO8068_LC|GO8077_LC
220157353, 18.2018776, -1.630296, 13.745, GO8077_LC|GO8042_LC|GO8036_LC
220157498, 17.1205711, -1.624853, 13.434, GO8077_LC|GO8042_LC
220157961, 17.4529076, -1.608402, 12.599, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220158076, 17.5174732, -1.604867, 13.74, GO8077_LC|GO8042_LC
220158274, 17.5245609, -1.599106, 9.452, GO8051_LC|GO8032_LC|GO8077_LC|GO8002_LC|GO8028_LC
220158461, 17.3236561, -1.59313, 12.99, GO8068_LC|GO8077_LC
220158542, 13.2820663, -1.590642, 11.75, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220158699, 13.3451538, -1.586266, 11.835, GO8068_LC|GO8032_LC|GO8077_LC
220158756, 17.8928108, -1.584339, 13.313, GO8077_LC
220158822, 13.0378799, -1.58245, 13.551, GO8077_LC|GO8042_LC
220158967, 13.0827141, -1.5779409, 12.876, GO8068_LC|GO8077_LC
220159172, 17.1073666, -1.571154, 13.961, GO8077_LC|GO8042_LC
220159221, 17.3559361, -1.568988, 13.481, GO8077_LC|GO8042_LC
220159244, 13.4399862, -1.5684071, 13.818, GO8032_LC|GO8077_LC|GO8042_LC
220159423, 13.0331383, -1.562353, 13.497, GO8077_LC|GO8042_LC
220159551, 13.7065039, -1.557497, 9.383, GO8051_LC|GO8077_LC|GO8031_LC
220159628, 13.7076035, -1.5548691, 11.252, GO8077_LC|GO8031_LC
220159654, 18.4008961, -1.554263, 13.009, GO8077_LC|GO8042_LC
220159708, 18.4007988, -1.55217, 13.43, GO8077_LC|GO8031_LC
220159813, 16.8327522, -1.549055, 13.208, GO8032_LC|GO8077_LC|GO8042_LC
220159844, 16.3847599, -1.5480371, 11.543, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220159909, 16.5011215, -1.545861, 12.845, GO8068_LC|GO8077_LC
220159911, 17.4030838, -1.5457391, 13.248, GO8077_LC
220160079, 16.7683754, -1.540223, 11.598, GO8068_LC|GO8032_LC|GO8077_LC
220160118, 13.5726557, -1.5391459, 13.646, GO8077_LC
220160125, 17.5910931, -1.538944, 13.617, GO8077_LC|GO8042_LC
220160375, 17.9241409, -1.531002, 10.865, GO8068_LC|GO8051_LC|GO8077_LC
220160392, 18.2936363, -1.53057, 13.179, GO8077_LC
220160842, 17.2977257, -1.516325, 13.152, GO8032_LC|GO8077_LC|GO8042_LC
220160843, 16.5126152, -1.516324, 13.486, GO8077_LC
220161050, 18.6265907, -1.509375, 13.912, GO8077_LC|GO8042_LC
220161057, 17.1821098, -1.5090441, 13.329, GO8077_LC
220161363, 16.8533535, -1.499312, 9.818, GO8077_LC|GO8028_LC
220161513, 17.0666389, -1.494663, 13.356, GO8077_LC
220161809, 12.8219395, -1.48479, 12.038, GO8068_LC|GO8032_LC|GO8077_LC
220161982, 18.2511024, -1.478164, 10.76, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220162105, 17.5561085, -1.474409, 11.506, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220162174, 17.1882496, -1.472437, 13.768, GO8077_LC
220162203, 16.2377357, -1.471807, 11.959, GO8077_LC
220162209, 18.6767254, -1.47156, 12.751, GO8068_LC|GO8077_LC
220162222, 13.1316786, -1.471132, 13.147, GO8077_LC
220162578, 16.9129467, -1.460433, 13.87, GO8012_LC|GO8077_LC|GO8042_LC
220162640, 18.735218, -1.458376, 13.118, GO8077_LC
220162807, 17.09688, -1.453003, 11.273, GO8068_LC|GO8077_LC|GO8066_LC|GO8042_LC
220162861, 17.5930595, -1.451336, 13.813, GO8077_LC
220162883, 18.0952263, -1.450775, 11.497, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220163069, 16.2515659, -1.444571, 13.647, GO8032_LC|GO8077_LC|GO8042_LC
220163116, 18.5974293, -1.443074, 13.58, GO8032_LC|GO8077_LC|GO8042_LC
220163335, 13.1322899, -1.436156, 13.03, GO8077_LC
220163406, 17.9216976, -1.433827, 11.699, GO8032_LC|GO8077_LC
220163637, 16.9948578, -1.426281, 12.866, GO8068_LC|GO8077_LC
