EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212330108, 206.5891724, -16.6645451, 14.873, GO6008_LC|GO6016_LC
212330265, 208.3796234, -16.6597004, 14.949, GO6016_LC
212331504, 206.9006805, -16.6263542, 13.909, GO6016_LC|GO6030_LC
212331641, 206.9007721, -16.622673, 14.571, GO6016_LC|GO6032_LC
212331699, 200.5322418, -16.6212177, 13.711, GO6008_LC|GO6016_LC|GO6030_LC|GO6032_LC
212332357, 202.9817352, -16.6040516, 14.671, GO6016_LC|GO6032_LC
212333201, 204.3845978, -16.579546, 11.484, GO6016_LC
212333202, 204.3845215, -16.5795403, 11.551, GO6016_LC
212333464, 203.1044922, -16.5726185, 14.066, GO6016_LC
212333675, 201.5955353, -16.5674362, 14.912, GO6016_LC
212334505, 200.0305023, -16.5442524, 14.597, GO6016_LC|GO6032_LC
212334548, 208.0862427, -16.5431499, 14.984, GO6016_LC
212334634, 200.0311584, -16.5408802, 14.677, GO6016_LC
212335950, 202.9531097, -16.5039711, 14.288, GO6016_LC
212336062, 202.9516754, -16.5008011, 14.306, GO6016_LC|GO6032_LC
212336117, 206.0504608, -16.4992275, 9.151, GO6016_LC|GO6030_LC|GO6086_LC|GO6087_LC
212337102, 201.3575134, -16.4735966, 14.362, GO6008_LC|GO6016_LC|GO6032_LC
212337809, 204.2614136, -16.4531059, 12.028, GO6016_LC|GO6032_LC
212337838, 206.9876251, -16.4523373, 13.888, GO6016_LC
212338064, 204.9938354, -16.4465332, 6.384, GO6016_LC|GO6078_LC
212338082, 206.7356567, -16.4460068, 14.375, GO6016_LC|GO6032_LC
212338178, 206.7397614, -16.4432297, 14.734, GO6016_LC|GO6032_LC
212338379, 207.9280853, -16.4379234, 14.887, GO6016_LC
212338670, 206.1312256, -16.4303474, 9.632, GO6016_LC|GO6030_LC|GO6086_LC|GO6087_LC
212338848, 202.4300079, -16.4255352, 14.681, GO6016_LC
212340257, 203.5448303, -16.3890648, 8.676, GO6016_LC|GO6030_LC|GO6039_LC|GO6078_LC|GO6086_LC|GO6087_LC|GO6039_SC
212340566, 206.8878021, -16.3809738, 14.887, GO6016_LC
