EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
213670315, 292.7546387, -28.6418018, 11.811, GO7030_LC|GO7087_LC|GO7028_LC
213672718, 289.1273804, -28.6339722, 11.773, GO7030_LC|GO7087_LC
213681774, 289.9143066, -28.6052341, 9.16, GO7086_LC|GO7078_LC|GO7016_LC|GO7087_LC|GO7030_LC
213683727, 293.3845825, -28.5990734, 11.278, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213693794, 283.3820496, -28.566967, 11.895, GO7030_LC|GO7087_LC
213694407, 290.7900696, -28.5650616, 11.748, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213705653, 289.8475342, -28.5300522, 11.742, GO7086_LC|GO7030_LC|GO7087_LC
213715867, 284.3398743, -28.4975796, 11.52, GO7086_LC|GO7030_LC|GO7087_LC
213718212, 291.0187988, -28.4903202, 11.949, GO7030_LC|GO7087_LC
213721599, 284.3705139, -28.4800224, 11.685, GO7086_LC|GO7030_LC|GO7087_LC
213731067, 292.5632324, -28.4503746, 11.994, GO7030_LC|GO7087_LC
213733055, 282.8483582, -28.4442024, 10.391, GO7086_LC|GO7016_LC|GO7087_LC|GO7028_LC|GO7030_LC
213733373, 281.9692993, -28.4431629, 11.866, GO7030_LC|GO7087_LC
213737194, 290.5738831, -28.4312344, 11.691, GO7030_LC|GO7021_LC|GO7087_LC
213737816, 282.5851135, -28.4293118, 10.457, GO7086_LC|GO7087_LC|GO7030_LC
213741720, 290.5188599, -28.4169102, 11.949, GO7030_LC|GO7087_LC
213743036, 292.0997314, -28.4129181, 11.881, GO7030_LC|GO7087_LC
213744080, 284.4406433, -28.4099064, 11.834, GO7030_LC|GO7087_LC|GO7028_LC
213749482, 288.9125671, -28.3934307, 11.867, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213756648, 290.6460876, -28.3717365, 10.601, GO7086_LC|GO7087_LC|GO7030_LC
213760645, 292.282135, -28.3595963, 11.974, GO7030_LC|GO7087_LC
213763196, 282.3355103, -28.3519135, 11.84, GO7030_LC|GO7087_LC
213776415, 293.3083496, -28.3113708, 11.317, GO7086_LC|GO7030_LC|GO7087_LC
213784232, 284.2336121, -28.2871037, 11.894, GO7030_LC|GO7087_LC|GO7028_LC
213786481, 285.1364746, -28.2803631, 11.607, GO7086_LC|GO7030_LC|GO7087_LC
213786508, 293.7380676, -28.2802601, 11.826, GO7030_LC|GO7087_LC|GO7028_LC
213791747, 294.4493713, -28.2646542, 11.912, GO7030_LC|GO7087_LC
213804654, 290.400238, -28.2257061, 9.223, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
213812240, 286.02771, -28.2030792, 9.82, GO7086_LC|GO7041_LC|GO7078_LC|GO7087_LC|GO7030_LC
213832800, 285.3310242, -28.1414299, 11.242, GO7086_LC|GO7087_LC|GO7030_LC
213833211, 290.7518921, -28.1401882, 11.857, GO7030_LC|GO7087_LC
213836183, 285.8190002, -28.1313419, 10.663, GO7086_LC|GO7087_LC|GO7030_LC
213836309, 281.7719421, -28.1310158, 11.906, GO7086_LC|GO7030_LC|GO7087_LC
213837033, 294.7362671, -28.1289558, 11.809, GO7030_LC|GO7078_LC|GO7087_LC
213837588, 294.7339172, -28.127224, 11.809, GO7030_LC|GO7087_LC
213841509, 284.2770996, -28.115839, 8.961, GO7039_LC|GO7087_LC|GO7030_LC|GO7039_SC
213843283, 282.0885925, -28.110405, 11.921, GO7030_LC|GO7087_LC|GO7028_LC
213850499, 282.2843018, -28.0887432, 11.825, GO7030_LC|GO7021_LC|GO7087_LC
213853552, 290.587738, -28.0795593, 11.796, GO7030_LC|GO7087_LC
213854213, 293.5815125, -28.0776615, 11.935, GO7030_LC|GO7087_LC|GO7028_LC
213857231, 292.9022217, -28.0687618, 11.792, GO7030_LC|GO7087_LC
213859742, 285.3130188, -28.0613575, 11.928, GO7030_LC|GO7087_LC|GO7028_LC
213866824, 282.4593201, -28.0402699, 11.829, GO7030_LC|GO7087_LC
213869475, 293.3779907, -28.0327053, 8.9, GO7078_LC|GO7087_LC|GO7030_LC
213870204, 293.3104553, -28.030304, 11.565, GO7086_LC|GO7030_LC|GO7087_LC
213873758, 293.1680603, -28.0198078, 6.99, GO7039_LC|GO7087_LC|GO7046_LC|GO7030_LC
213874567, 291.0235291, -28.017458, 11.132, GO7086_LC|GO7087_LC|GO7030_LC
213874881, 290.0655212, -28.0164909, 11.99, GO7030_LC|GO7087_LC
213877816, 286.6508789, -28.0079422, 11.927, GO7030_LC|GO7087_LC|GO7028_LC
213881072, 293.6182251, -27.9983139, 11.67, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213886018, 284.2043152, -27.9837151, 11.808, GO7030_LC|GO7087_LC
213892629, 286.4663696, -27.9644203, 11.787, GO7030_LC|GO7087_LC
213896629, 283.0279846, -27.9527321, 11.639, GO7086_LC|GO7030_LC|GO7087_LC
213902079, 289.3703003, -27.9366264, 11.064, GO7086_LC|GO7087_LC|GO7030_LC
213908791, 289.1007996, -27.9171906, 11.185, GO7086_LC|GO7087_LC|GO7030_LC
213910034, 294.4024353, -27.9135075, 11.961, GO7030_LC|GO7087_LC
213919434, 283.5618286, -27.8859386, 11.893, GO7030_LC|GO7087_LC
213919915, 293.0785828, -27.8845882, 9.261, GO7078_LC|GO7016_LC|GO7087_LC
213920015, 293.0787048, -27.8842812, 10.021, GO7078_LC|GO7016_LC|GO7087_LC
213922055, 292.1422729, -27.8782864, 11.843, GO7030_LC|GO7087_LC
213922486, 291.0204163, -27.8769646, 10.44, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
213922598, 285.6395264, -27.8766479, 11.77, GO7030_LC|GO7087_LC
213924916, 290.7373352, -27.8697414, 11.602, GO7086_LC|GO7030_LC|GO7087_LC
213925429, 290.180542, -27.8682499, 11.789, GO7030_LC|GO7087_LC
