EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200062719, , , , GO7012_LC|LC_pluto__TILE
200062720, , , , GO7012_LC|LC_pluto__TILE
200062721, , , , GO7012_LC|LC_pluto__TILE
200062722, , , , GO7012_LC|LC_pluto__TILE
200062723, , , , GO7012_LC|LC_pluto__TILE
200062724, , , , GO7012_LC|LC_pluto__TILE
200062725, , , , GO7012_LC|LC_pluto__TILE
200062726, , , , GO7012_LC|LC_pluto__TILE
200062727, , , , GO7012_LC|LC_pluto__TILE
200062728, , , , GO7012_LC|LC_pluto__TILE
200062729, , , , GO7012_LC|LC_pluto__TILE
200062730, , , , GO7012_LC|LC_pluto__TILE
200062731, , , , GO7012_LC|LC_pluto__TILE
200062732, , , , GO7012_LC|LC_pluto__TILE
200062733, , , , GO7012_LC|LC_pluto__TILE
200062734, , , , GO7012_LC|LC_pluto__TILE
200062735, , , , GO7012_LC|LC_pluto__TILE
200062736, , , , GO7012_LC|LC_pluto__TILE
200062737, , , , GO7012_LC|LC_pluto__TILE
200062738, , , , GO7012_LC|LC_pluto__TILE
200062739, , , , GO7012_LC|LC_pluto__TILE
200062740, , , , GO7012_LC|LC_pluto__TILE
200062741, , , , GO7012_LC|LC_pluto__TILE
200062742, , , , GO7012_LC|LC_pluto__TILE
200062743, , , , GO7012_LC|LC_pluto__TILE
200062744, , , , GO7012_LC|LC_pluto__TILE
200062745, , , , GO7012_LC|LC_pluto__TILE
200062746, , , , GO7012_LC|LC_pluto__TILE
200062747, , , , GO7012_LC|LC_pluto__TILE
200062748, , , , GO7012_LC|LC_pluto__TILE
200062749, , , , GO7012_LC|LC_pluto__TILE
200062750, , , , GO7012_LC|LC_pluto__TILE
200062751, , , , GO7012_LC|LC_pluto__TILE
200062752, , , , GO7012_LC|LC_pluto__TILE
200062753, , , , GO7012_LC|LC_pluto__TILE
200062754, , , , GO7012_LC|LC_pluto__TILE
200062755, , , , GO7012_LC|LC_pluto__TILE
200062756, , , , GO7012_LC|LC_pluto__TILE
200062757, , , , GO7012_LC|LC_pluto__TILE
200062758, , , , GO7012_LC|LC_pluto__TILE
200062759, , , , GO7012_LC|LC_pluto__TILE
200062760, , , , GO7012_LC|LC_pluto__TILE
200062761, , , , GO7012_LC|LC_pluto__TILE
200062762, , , , GO7012_LC|LC_pluto__TILE
200062763, , , , GO7012_LC|LC_pluto__TILE
200062764, , , , GO7012_LC|LC_pluto__TILE
200062765, , , , GO7012_LC|LC_pluto__TILE
200062766, , , , GO7012_LC|LC_pluto__TILE
200062767, , , , GO7012_LC|LC_pluto__TILE
200062768, , , , GO7012_LC|LC_pluto__TILE
200062769, , , , GO7012_LC|LC_pluto__TILE
200062770, , , , GO7012_LC|LC_pluto__TILE
200062771, , , , GO7012_LC|LC_pluto__TILE
200062772, , , , GO7012_LC|LC_pluto__TILE
200062773, , , , GO7012_LC|LC_pluto__TILE
200062774, , , , GO7012_LC|LC_pluto__TILE
200062775, , , , GO7012_LC|LC_pluto__TILE
200062776, , , , GO7012_LC|LC_pluto__TILE
200062777, , , , GO7012_LC|LC_pluto__TILE
200062778, , , , GO7012_LC|LC_pluto__TILE
200062779, , , , GO7012_LC|LC_pluto__TILE
200062780, , , , GO7012_LC|LC_pluto__TILE
200062781, , , , GO7012_LC|LC_pluto__TILE
200062782, , , , GO7012_LC|LC_pluto__TILE
200062783, , , , GO7012_LC|LC_pluto__TILE
200062784, , , , GO7012_LC|LC_pluto__TILE
200062785, , , , GO7012_LC|LC_pluto__TILE
200062786, , , , GO7012_LC|LC_pluto__TILE
200062787, , , , GO7012_LC|LC_pluto__TILE
200062788, , , , GO7012_LC|LC_pluto__TILE
200062789, , , , GO7012_LC|LC_pluto__TILE
200062790, , , , GO7012_LC|LC_pluto__TILE
200062791, , , , GO7012_LC|LC_pluto__TILE
200062792, , , , GO7012_LC|LC_pluto__TILE
200062793, , , , GO7012_LC|LC_pluto__TILE
200062794, , , , GO7012_LC|LC_pluto__TILE
200062795, , , , GO7012_LC|LC_pluto__TILE
200062796, , , , GO7012_LC|LC_pluto__TILE
200062797, , , , GO7012_LC|LC_pluto__TILE
200062798, , , , GO7012_LC|LC_pluto__TILE
200062799, , , , GO7012_LC|LC_pluto__TILE
200062800, , , , GO7012_LC|LC_pluto__TILE
200062801, , , , GO7012_LC|LC_pluto__TILE
200062802, , , , GO7012_LC|LC_pluto__TILE
200062803, , , , GO7012_LC|LC_pluto__TILE
200062804, , , , GO7012_LC|LC_pluto__TILE
200062805, , , , GO7012_LC|LC_pluto__TILE
200062806, , , , GO7012_LC|LC_pluto__TILE
200062807, , , , GO7012_LC|LC_pluto__TILE
200062808, , , , GO7012_LC|LC_pluto__TILE
200062809, , , , GO7012_LC|LC_pluto__TILE
200062810, , , , GO7012_LC|LC_pluto__TILE
200062811, , , , GO7012_LC|LC_pluto__TILE
200062812, , , , GO7012_LC|LC_pluto__TILE
200062813, , , , GO7012_LC|LC_pluto__TILE
200062814, , , , GO7012_LC|LC_pluto__TILE
200062815, , , , GO7012_LC|LC_pluto__TILE
200062816, , , , GO7012_LC|LC_pluto__TILE
200062817, , , , GO7012_LC|LC_pluto__TILE
200062818, , , , GO7012_LC|LC_pluto__TILE
200062819, , , , GO7012_LC|LC_pluto__TILE
200062820, , , , GO7012_LC|LC_pluto__TILE
200062821, , , , GO7012_LC|LC_pluto__TILE
200062822, , , , GO7012_LC|LC_pluto__TILE
200062823, , , , GO7012_LC|LC_pluto__TILE
200062824, , , , GO7012_LC|LC_pluto__TILE
200062825, , , , GO7012_LC|LC_pluto__TILE
200062826, , , , GO7012_LC|LC_pluto__TILE
200062827, , , , GO7012_LC|LC_pluto__TILE
