EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211468425, 131.775421, 12.680782, 17.503, GO16102_LC
211468584, 135.461179, 12.683139, 17.402, GO16079_LC|GO16102_LC
211468721, 133.53471, 12.684782, 16.715, GO16079_LC|GO16102_LC
211469274, 133.899887, 12.693064, 17.365, GO16079_LC|GO16102_LC
211469407, 134.079067, 12.69508, 17.373, GO16079_LC|GO16102_LC
211469616, 130.718732, 12.697948, 19.403, GO16102_LC
211470258, 134.72632, 12.707844, 16.647, GO16079_LC|GO16102_LC
211470273, 129.864842, 12.708104, 17.667, GO16079_LC|GO16102_LC
211470681, 134.689082, 12.713591, 16.989, GO16079_LC|GO16102_LC
211470834, 134.634317, 12.715735, 16.916, GO16079_LC|GO16102_LC
211470873, 133.824042, 12.716337, 17.333, GO16079_LC|GO16102_LC
211471906, 129.590619, 12.731653, 17.442, GO16079_LC|GO16102_LC
211471985, 133.713192, 12.732759, 16.96, GO16079_LC|GO16102_LC
211472272, 132.550843, 12.737187, 16.739, GO16079_LC|GO16102_LC
211472350, 137.407895, 12.738239, 17.363, GO16079_LC|GO16102_LC
211472352, 133.853793, 12.738255, 18.807, GO16079_LC|GO16102_LC
211472547, 130.616021, 12.740907, 17.067, GO16079_LC|GO16102_LC
211472593, 129.606177, 12.741546, 15.629, GO16079_LC|GO16102_LC
211472647, 133.533282, 12.742415, 17.674, GO16102_LC
211473037, 133.566386, 12.748119, 17.798, GO16079_LC|GO16102_LC
211473041, 129.366677, 12.748163, 17.249, GO16079_LC|GO16102_LC
211473169, 130.704067, 12.750131, 19.141, GO16079_LC|GO16102_LC
211473211, 137.146703, 12.750822, 17.485, GO16102_LC
211473745, 132.534047, 12.758501, 17.742, GO16079_LC|GO16102_LC
211473885, 133.569525, 12.760718, 17.548, GO16102_LC
211474585, 137.157584, 12.770924, 18.096, GO16102_LC
211474715, 130.905019, 12.772967, 17.726, GO16079_LC|GO16102_LC
211474799, 132.522471, 12.774143, 15.642, GO16079_LC|GO16102_LC
211474860, 132.467661, 12.774869, 17.141, GO16079_LC|GO16102_LC
211475297, 130.962283, 12.781766, 17.6, GO16079_LC|GO16102_LC
211475644, 136.088994, 12.786814, 16.32, GO16079_LC|GO16102_LC
211475714, 129.795995, 12.787793, 17.042, GO16102_LC
211475871, 136.091397, 12.789834, 16.28, GO16079_LC|GO16095_LC|GO16102_LC
211476014, 129.793343, 12.791696, 17.118, GO16079_LC|GO16102_LC
211476323, 130.786563, 12.795846, 16.349, GO16079_LC|GO16102_LC
211476457, 135.324176, 12.797977, 16.841, GO16079_LC|GO16102_LC
