EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,cadence [min],Investigation IDs
202066337,94.72836,25.06934,14.2,30,GO0078_LC
202066343,100.70177,27.990370000000002,13.6,30,GO0078_LC
202066346,92.36013,23.56759,14.3,30,GO0078_LC
202066358,103.02618000000001,16.259179999999997,14.1,30,GO0078_LC
202066368,102.35206,17.25662,14.5,30,GO0078_LC
202066370,103.37872,16.72202,14.5,30,GO0078_LC
202066378,99.87114,26.64115,13.6,30,GO0078_LC
202066379,92.47758,23.564020000000003,14.8,30,GO0078_LC
202066389,98.18253,26.27637,13.9,30,GO0078_LC
202066394,95.43298,25.03245,14.3,30,GO0078_LC
202066396,97.75862,25.23713,14.0,30,GO0078_LC
202066397,92.45759,23.51557,14.1,30,GO0078_LC
202066408,93.10289,25.312910000000002,13.7,30,GO0078_LC
202066418,102.84739,17.03739,14.5,30,GO0078_LC
202066437,97.61549000000001,27.57082,14.6,30,GO0078_LC
202066447,103.20655,17.6047,15.1,30,GO0078_LC
202066453,102.7064,17.328529999999997,14.5,30,GO0078_LC
202066462,102.81294,17.32033,14.6,30,GO0078_LC
202066466,92.63922,23.336270000000003,13.7,30,GO0078_LC
202066485,100.69147,28.135790000000004,14.9,30,GO0078_LC
202066487,103.30743000000001,16.32261,14.7,30,GO0078_LC
202066495,102.52541,16.11995,14.4,30,GO0078_LC
202066512,104.29026,18.55551,14.5,30,GO0078_LC
202066520,92.77458,23.110039999999998,14.1,30,GO0078_LC
202066523,93.29132,24.62997,14.2,30,GO0078_LC
202066535,98.16705,26.446609999999996,13.7,30,GO0078_LC
202066537,104.26603,18.626739999999998,14.8,30,GO0078_LC
202066540,102.95505,16.43838,14.1,30,GO0078_LC
202066571,101.17434,27.51512,14.7,30,GO0078_LC
202066594,102.50278,15.7499,14.0,30,GO0078_LC
202066595,98.93205,28.174159999999997,13.7,30,GO0078_LC
202066596,103.08725,17.596239999999998,14.4,30,GO0078_LC
202066604,102.73456999999999,17.37245,14.2,30,GO0078_LC
202066612,100.93156,26.766990000000003,14.9,30,GO0078_LC
202066618,102.98729,15.569720000000002,14.3,30,GO0078_LC
202066622,92.64301,22.67536,13.6,30,GO0078_LC
202066631,93.82709,25.94489,14.3,30,GO0078_LC
202066635,91.66005,22.341160000000002,13.7,30,GO0078_LC
202066665,102.61513000000001,17.63437,14.5,30,GO0078_LC
202066671,96.70421999999999,24.87109,14.3,30,GO0078_LC
