EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200063172, , , , GO8010_LC|1999TJ90_TILE
200063173, , , , GO8010_LC|1999TJ90_TILE
200063174, , , , GO8010_LC|1999TJ90_TILE
200063175, , , , GO8010_LC|1999TJ90_TILE
200063176, , , , GO8010_LC|1999TJ90_TILE
200063177, , , , GO8010_LC|1999TJ90_TILE
200063178, , , , GO8010_LC|1999TJ90_TILE
200063179, , , , GO8010_LC|1999TJ90_TILE
200063180, , , , GO8010_LC|1999TJ90_TILE
200063181, , , , GO8010_LC|1999TJ90_TILE
200063182, , , , GO8010_LC|1999TJ90_TILE
200063183, , , , GO8010_LC|1999TJ90_TILE
200063184, , , , GO8010_LC|1999TJ90_TILE
200063185, , , , GO8010_LC|1999TJ90_TILE
200063186, , , , GO8010_LC|1999TJ90_TILE
200063187, , , , GO8010_LC|1999TJ90_TILE
200063188, , , , GO8010_LC|1999TJ90_TILE
200063189, , , , GO8010_LC|1999TJ90_TILE
200063190, , , , GO8010_LC|1999TJ90_TILE
200063191, , , , GO8010_LC|1999TJ90_TILE
200063192, , , , GO8010_LC|1999TJ90_TILE
200063193, , , , GO8010_LC|1999TJ90_TILE
200063194, , , , GO8010_LC|1999TJ90_TILE
200063195, , , , GO8010_LC|1999TJ90_TILE
200063196, , , , GO8010_LC|1999TJ90_TILE
200063197, , , , GO8010_LC|1999TJ90_TILE
200063198, , , , GO8010_LC|1999TJ90_TILE
200063199, , , , GO8010_LC|1999TJ90_TILE
200063200, , , , GO8010_LC|1999TJ90_TILE
200063201, , , , GO8010_LC|1999TJ90_TILE
200063202, , , , GO8010_LC|1999TJ90_TILE
200063203, , , , GO8010_LC|1999TJ90_TILE
200063204, , , , GO8010_LC|1999TJ90_TILE
200063205, , , , GO8010_LC|1999TJ90_TILE
200063206, , , , GO8010_LC|1999TJ90_TILE
200063207, , , , GO8010_LC|1999TJ90_TILE
200063208, , , , GO8010_LC|1999TJ90_TILE
200063209, , , , GO8010_LC|1999TJ90_TILE
200063210, , , , GO8010_LC|1999TJ90_TILE
200063211, , , , GO8010_LC|1999TJ90_TILE
200063212, , , , GO8010_LC|1999TJ90_TILE
200063213, , , , GO8010_LC|1999TJ90_TILE
200063214, , , , GO8010_LC|1999TJ90_TILE
200063215, , , , GO8010_LC|1999TJ90_TILE
200063216, , , , GO8010_LC|1999TJ90_TILE
200063217, , , , GO8010_LC|1999TJ90_TILE
200063218, , , , GO8010_LC|1999TJ90_TILE
200063219, , , , GO8010_LC|1999TJ90_TILE
200063220, , , , GO8010_LC|1999TJ90_TILE
200063221, , , , GO8010_LC|1999TJ90_TILE
200063222, , , , GO8010_LC|1999TJ90_TILE
200063223, , , , GO8010_LC|1999TJ90_TILE
200063224, , , , GO8010_LC|1999TJ90_TILE
200063225, , , , GO8010_LC|1999TJ90_TILE
200063226, , , , GO8010_LC|1999TJ90_TILE
200063227, , , , GO8010_LC|1999TJ90_TILE
200063228, , , , GO8010_LC|1999TJ90_TILE
200063229, , , , GO8010_LC|1999TJ90_TILE
200063230, , , , GO8010_LC|1999TJ90_TILE
200063231, , , , GO8010_LC|1999TJ90_TILE
200063232, , , , GO8010_LC|1999TJ90_TILE
200063233, , , , GO8010_LC|1999TJ90_TILE
200063234, , , , GO8010_LC|1999TJ90_TILE
200063235, , , , GO8010_LC|1999TJ90_TILE
200063236, , , , GO8010_LC|1999TJ90_TILE
200063237, , , , GO8010_LC|1999TJ90_TILE
200063238, , , , GO8010_LC|1999TS40_TILE
200063239, , , , GO8010_LC|1999TS40_TILE
200063240, , , , GO8010_LC|1999TS40_TILE
200063241, , , , GO8010_LC|1999TS40_TILE
200063242, , , , GO8010_LC|1999TS40_TILE
200063243, , , , GO8010_LC|1999TS40_TILE
200063244, , , , GO8010_LC|1999TS40_TILE
200063245, , , , GO8010_LC|1999TS40_TILE
200063246, , , , GO8010_LC|1999TS40_TILE
200063247, , , , GO8010_LC|1999TS40_TILE
200063248, , , , GO8010_LC|1999TS40_TILE
200063249, , , , GO8010_LC|1999TS40_TILE
200063250, , , , GO8010_LC|1999TS40_TILE
200063251, , , , GO8010_LC|1999TS40_TILE
200063252, , , , GO8010_LC|1999TS40_TILE
200063253, , , , GO8010_LC|1999TS40_TILE
200063254, , , , GO8010_LC|1999TS40_TILE
200063255, , , , GO8010_LC|1999TS40_TILE
200063256, , , , GO8010_LC|1999TS40_TILE
200063257, , , , GO8010_LC|1999TS40_TILE
200063258, , , , GO8010_LC|1999TS40_TILE
