# Summary of K2 Program GO19068

Title: Galactic archaeology on a grand scale - C17-19

PI: Stello, Dennis (UNSW-Sydney)
CoIs: Marc Pinsonneault (OSU, Columbus), Derek Buzasi (Florida Gulf Coast University), Ken Freeman (ANU, Australia), Andrea Miglio (U. Birmingham, UK), Sanjib Sharma (U.Sydney, Australia)



# Targets requested by this program that have been observed (10031)
EPIC,rafloat,decfloat,Kp,InvestigationIDs
206454148,340.53226,-5.73585,13.95900,GO19068_LC
206454290,340.57196,-5.73312,9.37500,GO19003_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19068_LC|GO19901_LC
206455103,340.13593,-5.71913,14.03500,GO19068_LC
206455260,340.05374,-5.71655,13.79300,GO19068_LC
206455261,342.04837,-5.71649,14.45500,GO19068_LC
206455382,341.04245,-5.71409,14.23000,GO19046_LC|GO19068_LC
206455585,341.58790,-5.71057,14.00400,GO19068_LC
206455862,342.02070,-5.70619,12.22500,GO19068_LC
206456320,340.36240,-5.69811,13.02500,GO19049_LC|GO19068_LC
206456535,343.37320,-5.69427,13.76500,GO19068_LC
206456836,342.33270,-5.68946,12.99000,GO19046_LC|GO19049_LC|GO19065_LC|GO19068_LC
206457135,340.24628,-5.68430,10.74800,GO19068_LC
206457184,341.88700,-5.68313,16.22000,GO19063_LC|GO19068_LC
206457511,340.72632,-5.67755,14.37900,GO19068_LC
206457590,340.65520,-5.67593,13.42800,GO19068_LC
206457885,341.76236,-5.67098,13.85100,GO19068_LC
206457915,340.38315,-5.67036,13.01900,GO19068_LC
206458211,340.07590,-5.66484,14.11300,GO19068_LC
206458282,340.22770,-5.66344,16.54400,GO19063_LC|GO19068_LC
206458731,341.58984,-5.65576,13.74500,GO19063_LC|GO19068_LC
206458768,340.35220,-5.65536,8.90200,GO19068_LC
206458928,340.63574,-5.65243,14.25500,GO19063_LC|GO19068_LC
206459323,343.45330,-5.64579,13.85400,GO19068_LC
206459343,340.00424,-5.64553,10.82300,GO19003_LC|GO19049_LC|GO19065_LC|GO19068_LC
206459405,340.49536,-5.64434,14.17300,GO19068_LC
206459551,341.76508,-5.64154,13.84500,GO19068_LC
206460030,342.42667,-5.63290,14.32800,GO19068_LC
206460209,340.91364,-5.63001,12.98600,GO19068_LC
206460217,340.32440,-5.62983,13.19300,GO19049_LC|GO19068_LC
206460245,343.80600,-5.62948,13.87900,GO19068_LC
206460360,342.07120,-5.62731,14.55600,GO19068_LC
206460406,340.89860,-5.62656,13.63100,GO19026_LC|GO19063_LC|GO19068_LC
206460439,343.52896,-5.62615,16.46600,GO19063_LC|GO19068_LC
206460444,343.47200,-5.62608,14.36000,GO19068_LC
206460861,341.31882,-5.61932,14.77900,GO19063_LC|GO19068_LC
206460884,343.77512,-5.61896,16.25800,GO19063_LC|GO19068_LC
206461514,341.83432,-5.60787,14.75300,GO19005_LC|GO19068_LC
206461981,342.11304,-5.59972,13.37600,GO19063_LC|GO19068_LC
206462081,343.53992,-5.59773,15.62400,GO19063_LC|GO19068_LC
206462095,340.82000,-5.59752,14.84300,GO19063_LC|GO19068_LC
206463016,341.05518,-5.58197,14.36900,GO19068_LC
206463381,340.28810,-5.57599,14.32200,GO19068_LC
206463721,341.97513,-5.56986,12.85300,GO19068_LC
206463956,342.51584,-5.56597,9.31400,GO19068_LC
206463991,341.25516,-5.56551,13.80900,GO19068_LC
206464135,341.58680,-5.56301,14.21500,GO19068_LC
206464328,341.96445,-5.55926,15.09700,GO19063_LC|GO19068_LC
206464788,341.86835,-5.55137,11.58200,GO19068_LC
206465020,343.50836,-5.54753,14.18900,GO19063_LC|GO19068_LC
206465390,340.09088,-5.54096,14.26000,GO19068_LC
206466343,340.07544,-5.52440,12.01800,GO19068_LC
206466652,343.68546,-5.51915,16.06200,GO19063_LC|GO19068_LC
206467065,341.83246,-5.51181,12.03800,GO19068_LC
206467205,339.78683,-5.50918,13.87300,GO19068_LC
206467306,340.67430,-5.50727,9.55100,GO19068_LC
206467499,340.53275,-5.50366,12.05300,GO19068_LC
206467635,341.53912,-5.50123,12.44600,GO19068_LC
206467652,339.77430,-5.50096,14.32100,GO19063_LC|GO19068_LC
206467804,343.53570,-5.49808,8.90600,GO19068_LC
206468171,341.69730,-5.49158,14.13700,GO19068_LC
206468684,341.94970,-5.48292,14.54000,GO19068_LC
206468720,340.90543,-5.48231,13.05900,GO19068_LC
206468762,340.80344,-5.48148,16.11400,GO19063_LC|GO19068_LC
206469710,340.48860,-5.46431,10.23000,GO19068_LC
206469997,341.03000,-5.45966,12.14700,GO19068_LC
206470591,341.29398,-5.44912,14.13200,GO19068_LC
206470722,340.94620,-5.44654,9.11300,GO19068_LC
206470885,340.82970,-5.44410,14.00900,GO19068_LC
206470901,341.63130,-5.44388,15.45400,GO19063_LC|GO19068_LC
206471382,340.67200,-5.43520,13.84500,GO19068_LC
206471551,340.39752,-5.43198,14.44100,GO19063_LC|GO19068_LC
206471708,341.65018,-5.42867,16.06500,GO19063_LC|GO19068_LC
206471803,340.94574,-5.42687,15.76500,GO19063_LC|GO19068_LC
206471813,341.54425,-5.42662,10.20300,GO19003_LC|GO19049_LC|GO19065_LC|GO19068_LC
206472073,341.85828,-5.42196,12.11500,GO19068_LC
206472162,339.79620,-5.42015,16.02700,GO19063_LC|GO19068_LC
206472201,342.32315,-5.41940,13.64500,GO19068_LC
206472474,340.13458,-5.41391,11.47700,GO19068_LC
206472801,340.24180,-5.40825,13.79200,GO19068_LC
206472830,341.99536,-5.40758,12.15100,GO19068_LC
206472846,343.52136,-5.40734,13.38700,GO19049_LC|GO19068_LC
206473353,341.91187,-5.39788,15.53200,GO19068_LC|GO19902_LC
206473454,341.53714,-5.39616,14.20600,GO19063_LC|GO19068_LC
206473595,339.65286,-5.39324,12.68800,GO19049_LC|GO19065_LC|GO19068_LC
206473876,340.54044,-5.38787,9.77500,GO19068_LC
206474189,341.29330,-5.38201,15.47500,GO19063_LC|GO19068_LC
206474211,341.76627,-5.38152,13.45600,GO19063_LC|GO19068_LC
206474296,340.71536,-5.37963,14.36300,GO19068_LC
206474393,341.90660,-5.37771,10.39300,GO19068_LC
206474735,341.33713,-5.37135,13.34600,GO19068_LC
206474804,342.24750,-5.36989,13.71000,GO19049_LC|GO19068_LC
206474862,341.12000,-5.36879,13.85800,GO19068_LC
206475584,342.29205,-5.35532,13.83800,GO19026_LC|GO19063_LC|GO19068_LC
206475768,340.84520,-5.35173,14.12600,GO19068_LC
206476270,341.43550,-5.34210,16.81300,GO19063_LC|GO19068_LC
206476474,339.64188,-5.33816,11.80500,GO19049_LC|GO19065_LC|GO19068_LC
206476593,339.69907,-5.33586,13.95800,GO19068_LC
206476978,339.78190,-5.32861,15.03000,GO19063_LC|GO19068_LC
206477114,341.64900,-5.32616,12.01800,GO19068_LC
206477241,342.01477,-5.32361,15.75500,GO19046_LC|GO19068_LC
206477712,339.66943,-5.31468,11.01400,GO19068_LC
206477767,340.46735,-5.31363,13.33000,GO19049_LC|GO19068_LC
206477939,340.73828,-5.31077,12.06800,GO19026_LC|GO19068_LC
206477993,339.90005,-5.30996,13.17300,GO19068_LC
206478270,341.52686,-5.30506,15.08300,GO19063_LC|GO19068_LC
206478389,341.29540,-5.30277,14.32200,GO19068_LC
206479078,342.36755,-5.28948,14.67800,GO19068_LC
206479169,342.39453,-5.28791,13.66800,GO19049_LC|GO19068_LC
206479633,340.71457,-5.27941,13.73700,GO19068_LC
206479935,341.68225,-5.27422,16.06400,GO19068_LC|GO19902_LC
206480058,339.67023,-5.27182,13.68500,GO19068_LC
206480167,340.34808,-5.27004,15.18500,GO19063_LC|GO19068_LC
206480817,340.41614,-5.25702,14.07300,GO19063_LC|GO19068_LC|GO19901_LC
206481097,340.70157,-5.25199,14.21700,GO19068_LC
206481650,340.05380,-5.24178,13.87400,GO19068_LC
206482512,339.76490,-5.22578,11.29500,GO19068_LC
206482529,340.84003,-5.22539,13.54900,GO19049_LC|GO19068_LC
206482578,340.86057,-5.22438,14.96800,GO19063_LC|GO19068_LC
206482672,340.41052,-5.22264,14.54000,GO19068_LC
206482697,341.32993,-5.22213,10.07100,GO19068_LC
206482718,341.38177,-5.22155,14.03100,GO19063_LC|GO19068_LC|GO19901_LC
206482869,341.41602,-5.21864,15.09300,GO19063_LC|GO19068_LC
206483102,340.06732,-5.21431,10.43200,GO19049_LC|GO19050_LC|GO19065_LC|GO19068_LC
206483178,341.41312,-5.21290,13.07400,GO19068_LC
206483215,340.02390,-5.21241,13.88900,GO19063_LC|GO19068_LC
206483925,341.16122,-5.19881,13.98900,GO19068_LC
206483949,342.06686,-5.19828,13.42400,GO19049_LC|GO19063_LC|GO19068_LC
206484185,340.68910,-5.19396,14.40300,GO19068_LC
206484217,342.08664,-5.19341,14.42600,GO19063_LC|GO19068_LC
206484407,339.89325,-5.18946,13.31600,GO19049_LC|GO19068_LC
206484482,341.34290,-5.18802,13.47400,GO19049_LC|GO19068_LC
206484675,340.68356,-5.18442,13.50100,GO19068_LC
206485329,341.90393,-5.17151,14.45400,GO19068_LC
206485388,340.06378,-5.17017,12.94300,GO19049_LC|GO19063_LC|GO19065_LC|GO19068_LC
206485441,342.22080,-5.16890,13.61300,GO19049_LC|GO19068_LC
206485525,341.10837,-5.16732,14.19700,GO19068_LC
206485610,340.33140,-5.16589,14.29500,GO19068_LC
