# Summary of K2 Program GO13052

Title: The heat is on: exoplanets that orbit hot stars

PI: Quarles, Billy L (SETI Institute)
CoIs: Rowe, Jason Frank; Antoci, Victoria

Science Goals Objectives: The Kepler Mission has discovered a few thousand planet candidates, which has allowed for a statistical determination of planet size and orbital characterization.   In particular, multi-planet systems, where more than one planet is seen transiting a star have provided a wealth of information covering statistical confirmations, eccentricity distributions, mutual inclinations and dynamical stability.  We have learned that not only are planets plentiful, but are found in relatively flat and circular orbits.  However, this knowledge of the architecture exoplanetary systems is only currently valid for cooler G, K and M-dwarf stars, which were the prime targets from the original Kepler Mission.  From the Kepler Q1-Q17 catalogue there are only 254 planet-candidate systems where the host star has an effective temperature greater than 6500 K.  In stars with temperatures hotter than ~6500 K the stellar envelope structure and evolution on the main sequence is dominated by radiative transfer, opposed to cooler stars where convection plays an important role.   Misalignments between the planets orbital plane and stellar spin axis have been predominately found for stars with radiative atmospheres, whereas stars with convective envelopes typically show close alignment.  This observation is likely linked to the coupling of convective atmospheres and tidal forces.  As such, we wish to continue making observations with K2 to determine the occurrence rate and orbital properties of multi-planet systems around hot stars.

Methodology: The Kepler Mission was a planet finding machine!  Our team has extensive knowledge and experience with Kepler photometric data for both transit finding and analysis as well as performing asteroseismic analysis of stars with temperatures greater than 6500 K.  We have 236 targets selected for observation in C8 and will investigate a much larger list of target stars over C11, C12, and C13.  One of the problems of searching for planets around hotter stars is that many are known to pulsate (e.g. dSct and gDor type).  Fortunately, the pulsations can be identified and accounted for from photometric light curves to allow searches for planets to reach low-noise levels.  Our plan is to use detrended photometric data and apply asteroseismic tools to remove stellar phenomena that may affect the data and to then search for transiting planets.  We will then study the properties of the planet-candidates using transit-depths, transit-durations and impact parameter to estimate the distributions of orbital properties.  We will also estimate our planet search completeness and compare our measured properties to the properties of planetary systems found around cooler stars.
210658619, 67.604564, 17.786009, 9.978, GO13071_LC|GO13122_LC|GO13023_LC|GO13024_LC|GO13052_LC|GO13903_LC
210660686, 66.757961, 17.815082, 11.002, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13902_LC|GO13904_LC
210668334, 67.727894, 17.920041, 11.217, GO13049_LC|GO13071_LC|GO13009_LC|GO13122_LC|GO13052_LC
210669206, 67.159438, 17.93233, 9.919, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13902_LC|GO13904_LC
210671425, 66.355258, 17.962625, 10.513, GO13122_LC|GO13052_LC|GO13019_LC|GO13127_LC|GO13902_LC|GO13904_LC
210673741, 66.569618, 17.993988, 10.988, GO13049_LC|GO13071_LC|GO13122_LC|GO13052_LC|GO13902_LC|GO13904_LC
210675613, 67.344298, 18.020135, 9.729, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13903_LC
210676484, 66.185618, 18.032438, 10.525, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13902_LC|GO13904_LC
210678043, 66.911952, 18.054832, 10.609, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13902_LC|GO13904_LC
210682313, 67.320526, 18.113801, 10.157, GO13071_LC|GO13122_LC|GO13052_LC|GO13903_LC
210692557, 67.033986, 18.256107, 10.995, GO13122_LC|GO13052_LC|GO13902_LC|GO13904_LC
210710397, 67.282366, 18.512725, 11.617, GO13071_LC|GO13122_LC|GO13052_LC
210731429, 67.489982, 18.826444, 10.54, GO13071_LC|GO13122_LC|GO13052_LC
210737173, 66.179009, 18.91307, 7.347, GO13122_LC|GO13052_LC|GO13019_LC|GO13127_LC|GO13902_LC|GO13904_LC
210770414, 65.71491, 19.419419, 9.956, GO13049_LC|GO13071_LC|GO13122_LC|GO13052_LC|GO13902_LC|GO13904_LC
210778340, 65.933446, 19.5404, 10.815, GO13052_LC|GO13904_LC
210789783, 67.340424, 19.713472, 11.47, GO13122_LC|GO13024_LC|GO13052_LC
210798162, 67.574882, 19.840576, 7.014, GO13012_LC|GO13122_LC|GO13002_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13052_LC|GO13019_LC|GO13903_LC
210798332, 66.756554, 19.843305, 7.477, GO13122_LC|GO13052_LC|GO13019_LC
210815526, 65.898636, 20.104116, 11.932, GO13071_LC|GO13122_LC|GO13052_LC
210815549, 65.987886, 20.104483, 11.245, GO13071_LC|GO13122_LC|GO13052_LC
210815811, 67.788992, 20.10868, 10.625, GO13071_LC|GO13122_LC|GO13052_LC|GO13019_LC
210819022, 65.675159, 20.158928, 12.332, GO13049_LC|GO13071_LC|GO13122_LC|GO13052_LC
210822699, 65.232069, 20.214957, 11.855, GO13071_LC|GO13122_LC|GO13052_LC
210838130, 65.863965, 20.450684, 9.698, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13019_LC
210843227, 65.362468, 20.528174, 10.718, GO13071_LC|GO13122_LC|GO13050_LC|GO13052_LC
210853356, 67.175719, 20.677434, 7.821, GO13122_LC|GO13002_LC|GO13052_LC|GO13019_LC|GO13127_LC
210856349, 65.610141, 20.720859, 11.114, GO13071_LC|GO13122_LC|GO13052_LC
210861872, 65.772388, 20.805482, 10.116, GO13122_LC|GO13052_LC
210866528, 67.101193, 20.876817, 10.683, GO13071_LC|GO13122_LC|GO13052_LC
210867082, 65.876911, 20.884942, 9.483, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
210869182, 67.057881, 20.916834, 11.315, GO13071_LC|GO13122_LC|GO13052_LC
210869195, 66.695563, 20.916952, 10.949, GO13122_LC|GO13024_LC|GO13052_LC
210872806, 65.560945, 20.970178, 11.33, GO13071_LC|GO13122_LC|GO13098_LC|GO13052_LC
210874292, 65.206099, 20.992416, 11.196, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
210877450, 67.107885, 21.041334, 10.303, GO13049_LC|GO13071_LC|GO13122_LC|GO13024_LC|GO13050_LC|GO13052_LC|GO13903_LC
210878250, 65.991693, 21.053969, 10.916, GO13122_LC|GO13052_LC
210878407, 65.536388, 21.056641, 11.133, GO13071_LC|GO13122_LC|GO13052_LC
210878996, 64.890418, 21.065146, 9.828, GO13071_LC|GO13009_LC|GO13122_LC|GO13002_LC|GO13052_LC
210886951, 65.396156, 21.188502, 8.98, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13903_LC
210890998, 65.200239, 21.251204, 10.527, GO13049_LC|GO13071_LC|GO13122_LC|GO13050_LC|GO13052_LC|GO13903_LC
210894062, 64.754953, 21.29934, 8.7, GO13071_LC|GO13122_LC|GO13002_LC|GO13024_LC|GO13052_LC
210897587, 65.468696, 21.3536, 12.656, GO13008_LC|GO13049_LC|GO13123_LC|GO13071_LC|GO13018_LC|GO13122_LC|GO13050_LC|GO13052_LC
210898130, 66.330627, 21.362017, 11.529, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
210901971, 66.194987, 21.421654, 11.35, GO13071_LC|GO13122_LC|GO13052_LC
210905159, 66.577073, 21.470429, 8.984, GO13008_LC|GO13012_LC|GO13071_LC|GO13122_LC|GO13002_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13052_LC|GO13090_LC|GO13903_LC|GO13012_SC
210908188, 65.620044, 21.518331, 10.563, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
210909625, 66.003983, 21.540621, 9.764, GO13071_LC|GO13122_LC|GO13002_LC|GO13024_LC|GO13052_LC
210916246, 67.179191, 21.644691, 10.822, GO13049_LC|GO13071_LC|GO13122_LC|GO13098_LC|GO13050_LC|GO13052_LC
210920919, 64.735696, 21.718855, 10.331, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
210920952, 65.976188, 21.719387, 10.613, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
210921028, 66.487599, 21.720559, 11.015, GO13071_LC|GO13122_LC|GO13052_LC|GO13903_LC
210921921, 66.060726, 21.736245, 8.366, GO13008_LC|GO13012_LC|GO13071_LC|GO13122_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13052_LC|GO13090_LC|GO13903_LC
210927003, 66.68615, 21.817663, 11.458, GO13049_LC|GO13071_LC|GO13122_LC|GO13052_LC
210938663, 66.973732, 22.003662, 10.628, GO13071_LC|GO13122_LC|GO13052_LC
210939019, 65.391734, 22.009419, 10.336, GO13122_LC|GO13052_LC
210943302, 65.969697, 22.077495, 10.057, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
210944551, 66.424752, 22.097669, 10.676, GO13049_LC|GO13071_LC|GO13122_LC|GO13050_LC|GO13052_LC
210945755, 65.867379, 22.117337, 9.989, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
210945886, 65.126215, 22.119634, 10.522, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
210945888, 65.391466, 22.11967, 10.712, GO13122_LC|GO13038_LC|GO13052_LC
210952925, 65.196198, 22.231327, 9.872, GO13122_LC|GO13024_LC|GO13052_LC
210982677, 66.366991, 22.704338, 11.485, GO13122_LC|GO13052_LC
246590028, 71.463092, 13.011734, 10.378, GO13071_LC|GO13122_LC|GO13052_LC
246617546, 72.398047, 13.454047, 10.623, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246619457, 72.516123, 13.48254, 10.141, GO13071_LC|GO13122_LC|GO13052_LC
246623961, 72.549663, 13.551234, 9.81, GO13122_LC|GO13024_LC|GO13052_LC
246630315, 72.500687, 13.641565, 11.062, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246631213, 71.163766, 13.654905, 9.966, GO13122_LC|GO13024_LC|GO13052_LC
246643313, 72.686319, 13.82553, 10.442, GO13071_LC|GO13122_LC|GO13052_LC
246645021, 73.022567, 13.849145, 11.666, GO13122_LC|GO13052_LC
246645083, 71.94196, 13.849979, 9.532, GO13122_LC|GO13038_LC|GO13052_LC
246645168, 71.542435, 13.851005, 10.678, GO13071_LC|GO13122_LC|GO13052_LC
246648695, 72.646778, 13.89937, 11.144, GO13071_LC|GO13122_LC|GO13052_LC
246651631, 73.247014, 13.939208, 10.807, GO13071_LC|GO13122_LC|GO13052_LC
246659580, 71.390925, 14.049105, 9.526, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246671003, 74.602881, 14.200626, 9.717, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246681893, 72.36682, 14.340994, 10.128, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13903_LC
246683449, 72.18336, 14.36147, 10.766, GO13049_LC|GO13071_LC|GO13122_LC|GO13052_LC|GO13903_LC
246684191, 72.540234, 14.371039, 11.15, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246686026, 72.8756, 14.394405, 10.425, GO13071_LC|GO13122_LC|GO13052_LC
246686895, 73.003466, 14.405744, 10.137, GO13122_LC|GO13052_LC
246689436, 74.668487, 14.43787, 11.393, GO13071_LC|GO13122_LC|GO13052_LC
246689829, 70.869846, 14.443212, 10.347, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246690509, 75.448503, 14.452314, 10.564, GO13052_LC
246694710, 75.241426, 14.504792, 9.401, GO13071_LC|GO13036_LC|GO13052_LC|GO13019_LC
246694716, 75.2411, 14.504847, 8.849, GO13071_LC|GO13122_LC|GO13002_LC|GO13036_LC|GO13052_LC|GO13019_LC
246696804, 71.640667, 14.531672, 8.451, GO13012_LC|GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13903_LC|GO13012_SC
246697697, 74.763169, 14.543477, 9.77, GO13122_LC|GO13052_LC
246698204, 74.738361, 14.549577, 7.525, GO13122_LC|GO13002_LC|GO13036_LC|GO13052_LC|GO13019_LC|GO13127_LC
246699580, 75.865379, 14.568112, 9.952, GO13071_LC|GO13122_LC|GO13052_LC
246704649, 72.872099, 14.631478, 10.83, GO13122_LC|GO13052_LC|GO13127_LC
246706324, 75.56295, 14.652492, 10.546, GO13071_LC|GO13122_LC|GO13052_LC
246707488, 75.218595, 14.667571, 10.911, GO13122_LC|GO13024_LC|GO13052_LC
246708249, 67.936109, 14.677035, 9.33, GO13071_LC|GO13122_LC|GO13052_LC
246708544, 67.979135, 14.680435, 11.064, GO13071_LC|GO13122_LC|GO13052_LC|GO13903_LC
246709190, 75.440063, 14.688424, 11.143, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246709321, 67.795546, 14.689794, 8.639, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246709426, 71.298594, 14.69093, 10.89, GO13049_LC|GO13071_LC|GO13122_LC|GO13052_LC
246711470, 71.112891, 14.715833, 10.636, GO13122_LC|GO13024_LC|GO13052_LC
246711754, 75.296065, 14.7195, 9.574, GO13071_LC|GO13122_LC|GO13052_LC
246714254, 75.536038, 14.749829, 8.609, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13903_LC
246715531, 75.762964, 14.765699, 9.271, GO13049_LC|GO13097_LC|GO13071_LC|GO13122_LC|GO13002_LC|GO13095_LC|GO13052_LC|GO13097_SC
246717883, 70.646802, 14.7948, 11.412, GO13071_LC|GO13122_LC|GO13052_LC
246721656, 73.801961, 14.840685, 9.411, GO13071_LC|GO13122_LC|GO13052_LC
246721853, 73.804872, 14.842813, 9.411, GO13002_LC|GO13036_LC|GO13052_LC
246726803, 75.033459, 14.90445, 10.932, GO13122_LC|GO13038_LC|GO13052_LC
246727718, 72.791328, 14.91582, 10.498, GO13071_LC|GO13122_LC|GO13052_LC
246727929, 75.469578, 14.918509, 11.094, GO13071_LC|GO13122_LC|GO13052_LC
246728202, 72.159604, 14.921942, 9.778, GO13071_LC|GO13122_LC|GO13006_LC|GO13024_LC|GO13052_LC
246728238, 71.796232, 14.92237, 10.499, GO13122_LC|GO13052_LC
246739104, 74.703242, 15.051926, 10.307, GO13071_LC|GO13122_LC|GO13052_LC
246742424, 75.367855, 15.091297, 9.207, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246742920, 73.669428, 15.097017, 10.403, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246743532, 77.176133, 15.103823, 8.052, GO13122_LC|GO13052_LC|GO13019_LC
246745722, 75.46347, 15.129501, 10.774, GO13049_LC|GO13071_LC|GO13122_LC|GO13052_LC
246748588, 72.33225, 15.163215, 10.967, GO13071_LC|GO13122_LC|GO13052_LC|GO13903_LC
246750514, 67.716107, 15.185525, 9.75, GO13071_LC|GO13122_LC|GO13052_LC|GO13903_LC
246750920, 75.350782, 15.190388, 8.939, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246753605, 74.671241, 15.22093, 11.463, GO13122_LC|GO13052_LC
246753856, 76.981345, 15.2238, 10.464, GO13122_LC|GO13052_LC|GO13019_LC
246753912, 71.31741, 15.224437, 10.855, GO13071_LC|GO13122_LC|GO13052_LC|GO13019_LC
246754774, 77.19281, 15.234176, 9.159, GO13038_LC|GO13052_LC|GO13019_LC
246758642, 77.666538, 15.279484, 8.574, GO13012_LC|GO13071_LC|GO13122_LC|GO13024_LC|GO13039_LC|GO13052_LC|GO13903_LC|GO13012_SC
246760410, 75.661282, 15.300634, 10.609, GO13071_LC|GO13122_LC|GO13052_LC
246765285, 74.958042, 15.356915, 11.08, GO13122_LC|GO13052_LC
246765506, 69.081299, 15.359512, 11.349, GO13071_LC|GO13122_LC|GO13052_LC
246765955, 72.758483, 15.365162, 10.809, GO13071_LC|GO13122_LC|GO13002_LC|GO13052_LC|GO13019_LC
246769165, 75.174209, 15.402363, 10.687, GO13071_LC|GO13122_LC|GO13052_LC
246770358, 71.918181, 15.415784, 11.292, GO13122_LC|GO13052_LC
246771958, 72.846734, 15.433467, 8.557, GO13008_LC|GO13012_LC|GO13071_LC|GO13122_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13052_LC|GO13090_LC|GO13903_LC|GO13012_SC
246773658, 73.819618, 15.452881, 9.973, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246777255, 71.783641, 15.49273, 10.498, GO13122_LC|GO13052_LC
246777911, 73.964901, 15.500451, 10.961, GO13122_LC|GO13052_LC
246778300, 68.647122, 15.504619, 7.797, GO13071_LC|GO13122_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13083_LC|GO13052_LC|GO13019_LC|GO13903_LC
246779190, 74.507445, 15.514439, 11.034, GO13071_LC|GO13122_LC|GO13052_LC
246779808, 68.777822, 15.521268, 10.621, GO13049_LC|GO13071_LC|GO13122_LC|GO13052_LC
246780678, 72.488078, 15.531074, 8.542, GO13071_LC|GO13122_LC|GO13052_LC|GO13903_LC
246781822, 74.021933, 15.54364, 9.849, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246784301, 69.743464, 15.570893, 9.355, GO13036_LC|GO13052_LC
246785725, 72.797988, 15.586158, 10.683, GO13071_LC|GO13122_LC|GO13052_LC
246788829, 74.671369, 15.619752, 9.211, GO13122_LC|GO13038_LC|GO13052_LC|GO13127_LC
246789771, 78.857439, 15.630117, 9.498, GO13122_LC|GO13052_LC
246790962, 78.973584, 15.643702, 10.989, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246791024, 74.529534, 15.644452, 10.769, GO13123_LC|GO13009_LC|GO13052_LC|GO13903_LC
246791785, 75.971951, 15.652538, 10.022, GO13122_LC|GO13024_LC|GO13028_LC|GO13052_LC
246792921, 72.051763, 15.66449, 10.877, GO13071_LC|GO13122_LC|GO13052_LC
246793325, 69.50107, 15.669062, 9.802, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13903_LC
246797342, 79.154828, 15.713179, 10.732, GO13122_LC|GO13024_LC|GO13052_LC
246798131, 75.928921, 15.722605, 11.328, GO13122_LC|GO13024_LC|GO13052_LC
246798818, 72.651606, 15.729677, 9.324, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246799399, 68.868404, 15.735954, 10.877, GO13071_LC|GO13122_LC|GO13052_LC
246800994, 73.449516, 15.752878, 9.583, GO13122_LC|GO13101_LC|GO13038_LC|GO13052_LC
246805167, 72.656967, 15.79708, 8.599, GO13021_LC|GO13052_LC
246805318, 74.547619, 15.798593, 8.823, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246805854, 74.66788, 15.804282, 10.721, GO13071_LC|GO13122_LC|GO13052_LC
246806772, 74.131533, 15.813827, 9.249, GO13012_LC|GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13903_LC
246806928, 67.836609, 15.815493, 7.824, GO13122_LC|GO13024_LC|GO13052_LC|GO13019_LC|GO13903_LC
246808313, 75.074804, 15.830096, 10.964, GO13049_LC|GO13123_LC|GO13071_LC|GO13122_LC|GO13052_LC|GO13903_LC
246808979, 75.159233, 15.836836, 11.124, GO13071_LC|GO13122_LC|GO13052_LC
246810163, 69.158367, 15.849303, 10.418, GO13122_LC|GO13052_LC
246810451, 75.513495, 15.852355, 11.271, GO13071_LC|GO13122_LC|GO13052_LC
246812089, 73.974278, 15.869032, 10.442, GO13071_LC|GO13122_LC|GO13052_LC|GO13903_LC
246812248, 75.927434, 15.870518, 11.107, GO13122_LC|GO13024_LC|GO13052_LC
246816678, 78.096062, 15.916916, 9.481, GO13122_LC|GO13038_LC|GO13052_LC
246818039, 73.48184, 15.931698, 8.401, GO13071_LC|GO13122_LC|GO13024_LC|GO13039_LC|GO13052_LC
246818611, 75.632867, 15.937484, 10.515, GO13122_LC|GO13052_LC
246820783, 68.357293, 15.960932, 9.108, GO13071_LC|GO13122_LC|GO13101_LC|GO13024_LC|GO13052_LC|GO13127_LC
246821686, 70.540607, 15.969874, 8.664, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13903_LC
246829056, 74.887218, 16.048194, 11.012, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246830819, 78.927451, 16.066522, 10.366, GO13071_LC|GO13122_LC|GO13098_LC|GO13024_LC|GO13052_LC
246832832, 78.727237, 16.086638, 9.971, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246834236, 74.494115, 16.101205, 11.267, GO13122_LC|GO13052_LC
246835292, 70.476528, 16.112163, 11.188, GO13071_LC|GO13122_LC|GO13052_LC
246835782, 67.855768, 16.11713, 10.755, GO13071_LC|GO13122_LC|GO13052_LC
246836150, 76.739328, 16.121064, 9.12, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246836379, 75.360935, 16.123603, 10.797, GO13071_LC|GO13122_LC|GO13052_LC|GO13019_LC
246840048, 74.988188, 16.160172, 11.722, GO13122_LC|GO13052_LC
246840350, 75.278338, 16.162973, 10.322, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246843060, 75.510176, 16.190695, 8.899, GO13012_LC|GO13071_LC|GO13122_LC|GO13024_LC|GO13039_LC|GO13052_LC|GO13903_LC|GO13012_SC
246843206, 75.797875, 16.192037, 10.422, GO13122_LC|GO13024_LC|GO13052_LC
246844239, 71.803768, 16.202839, 11.349, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246845151, 68.421657, 16.21183, 10.203, GO13071_LC|GO13122_LC|GO13052_LC
246845309, 74.124102, 16.213395, 10.785, GO13049_LC|GO13071_LC|GO13122_LC|GO13052_LC
246845529, 68.912151, 16.215661, 12.13, GO13071_LC|GO13122_LC|GO13052_LC
246851529, 75.829542, 16.277002, 11.283, GO13071_LC|GO13122_LC|GO13052_LC
246851833, 74.086287, 16.280008, 10.951, GO13122_LC|GO13052_LC
246853551, 70.766137, 16.297017, 8.985, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13019_LC
246854802, 73.895405, 16.309559, 11.289, GO13071_LC|GO13122_LC|GO13052_LC
246855709, 72.054544, 16.318614, 10.33, GO13071_LC|GO13122_LC|GO13052_LC
246856760, 74.775545, 16.328979, 10.145, GO13071_LC|GO13122_LC|GO13052_LC
246857069, 75.17294, 16.332123, 11.056, GO13071_LC|GO13122_LC|GO13052_LC
246857251, 75.228034, 16.333758, 10.351, GO13071_LC|GO13122_LC|GO13052_LC|GO13903_LC
246861600, 74.301863, 16.376939, 11.541, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246863855, 70.052946, 16.398648, 9.626, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13903_LC
246865650, 75.269518, 16.417267, 10.689, GO13071_LC|GO13122_LC|GO13052_LC
246866348, 76.969107, 16.424663, 9.055, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13903_LC
246872740, 77.612074, 16.48783, 10.339, GO13122_LC|GO13052_LC
246875534, 68.624843, 16.513761, 10.777, GO13071_LC|GO13122_LC|GO13002_LC|GO13052_LC
246875733, 68.36744, 16.515729, 9.735, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246876353, 69.973919, 16.52191, 8.788, GO13071_LC|GO13122_LC|GO13002_LC|GO13024_LC|GO13036_LC|GO13052_LC
246877152, 68.444914, 16.529866, 10.594, GO13071_LC|GO13122_LC|GO13052_LC
246882345, 75.512915, 16.581208, 10.815, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246883665, 77.793732, 16.594338, 9.886, GO13122_LC|GO13052_LC
246884328, 68.091558, 16.600825, 9.468, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13019_LC|GO13903_LC
246886589, 70.62409, 16.623272, 9.866, GO13071_LC|GO13122_LC|GO13052_LC|GO13019_LC
246886718, 76.288287, 16.624592, 9.086, GO13122_LC|GO13038_LC|GO13052_LC|GO13019_LC
246887695, 72.171979, 16.634274, 7.524, GO13122_LC|GO13002_LC|GO13024_LC|GO13039_LC|GO13052_LC|GO13019_LC|GO13903_LC
246893104, 72.139934, 16.68688, 10.979, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC
246893312, 78.045899, 16.68867, 9.637, GO13122_LC|GO13038_LC|GO13052_LC
246895097, 70.37932, 16.706474, 8.604, GO13122_LC|GO13002_LC|GO13024_LC|GO13052_LC|GO13019_LC
246898531, 68.509148, 16.739337, 9.804, GO13122_LC|GO13024_LC|GO13052_LC
